iteracion,675,911,1229,1658,2239,3023,4081
1,0.015308469,0.038746805,0.074065429,0.193769494,1.325425857,2.870580098,6.879993963
2,0.013607869,0.034460965,0.071016723,0.179608881,1.261059218,2.763988425,6.887567721
3,0.013282534,0.038504558,0.07422513,0.186861362,1.254522409,2.836918059,6.902023191
4,0.012365002,0.035039176,0.077967064,0.18027597,1.11311905,2.779358901,6.986748816
5,0.015947045,0.03441614,0.074631477,0.194921148,1.037001907,2.823192556,6.917134367
6,0.013912915,0.035636133,0.073829223,0.182925332,1.033967771,2.810518705,6.9607768
7,0.012651172,0.035132943,0.074937575,0.167961404,1.108492048,2.774951554,6.938202619
8,0.015889887,0.035439812,0.07346744,0.188846901,1.183048817,2.810917847,6.956231946
9,0.016750852,0.035605605,0.074726226,0.192137542,1.143636205,2.799989419,6.948601588
10,0.015067243,0.037430501,0.074501261,0.184253039,1.00769902,2.788579881,6.944549976
