iteracion,675,911,1229,1658,2239,3023,4081
1,0.025825704,0.09093724,0.334878542,0.951726453,2.183326692,6.023498318,13.597427914
2,0.024730937,0.090364418,0.339767477,0.981406181,2.842043307,6.800914309,13.560237163
3,0.025373541,0.086886898,0.338158619,0.914956721,2.38735303,7.323238674,13.513184933
4,0.026671362,0.092276519,0.368946687,0.86841905,2.767481839,6.368998216,13.544489979
5,0.024705849,0.090485175,0.385367706,1.018885394,2.388319733,7.678233017,13.557662355
6,0.024675993,0.077951289,0.385524524,0.878756499,2.277779003,7.91497429,13.50684962
7,0.025402866,0.099707176,0.39440978,0.935217312,2.504651469,7.631389116,13.518730757
8,0.024311614,0.09772898,0.400917554,0.959274348,2.668164812,7.629028877,13.450241856
9,0.024795509,0.105622059,0.377074464,0.860952531,2.769096044,7.977018174,13.471682663
10,0.026275585,0.082921969,0.400687496,0.981606882,2.643612935,7.60849563,13.515126987
