size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm,pi_est
2025000,2,0.023774660,0.041482000,0.000255000,0.041737000,2025000,0.085175,85.174720,2,openmp_needles,3.141619555
3037500,2,0.027774325,0.054951000,0.000000000,0.054951000,3037500,0.109364,109.363594,2,openmp_needles,3.141632553
4556250,2,0.036347791,0.071398000,0.000274000,0.071672000,4556250,0.125351,125.351497,2,openmp_needles,3.141595727
6834375,2,0.053467965,0.106454000,0.000000000,0.106454000,6834375,0.127822,127.821865,2,openmp_needles,3.141591395
10251562,2,0.079279958,0.157328000,0.000437000,0.157765000,10251562,0.129308,129.308368,2,openmp_needles,3.141580652
15377343,2,0.115853794,0.231033000,0.000000000,0.231033000,15377343,0.132731,132.730595,2,openmp_needles,3.141565248
23066015,2,0.168785051,0.336846000,0.000000000,0.336846000,23066015,0.136659,136.659111,2,openmp_needles,3.141586068
34599022,2,0.248892531,0.497015000,0.000359000,0.497374000,34599022,0.139012,139.011893,2,openmp_needles,3.141591157
51898533,2,0.373896023,0.747041000,0.000375000,0.747416000,51898533,0.138805,138.804721,2,openmp_needles,3.141576895
77847800,2,0.559359806,1.118606000,0.000000000,1.118606000,77847800,0.139173,139.173032,2,openmp_needles,3.141579007
116771700,2,0.829842603,1.653768000,0.000000000,1.653768000,116771700,0.140715,140.715480,2,openmp_needles,3.141579936
175157550,2,1.272988640,2.529494000,0.001000000,2.530494000,175157550,0.137596,137.595533,2,openmp_needles,3.141584134
262736325,2,1.883369000,3.740425000,0.000335000,3.740760000,262736325,0.139503,139.503371,2,openmp_needles,3.141582876
394104487,2,2.785080761,5.541264000,0.000125000,5.541389000,394104487,0.141506,141.505587,2,openmp_needles,3.141581795
591156730,2,4.170766938,8.306166000,0.000000000,8.306166000,591156730,0.141738,141.738136,2,openmp_needles,3.141582393
886735095,2,6.209272624,12.412184000,0.000000000,12.412184000,886735095,0.142808,142.808208,2,openmp_needles,3.141582916
1330102642,2,9.403263674,18.675559000,0.000390000,18.675949000,1330102642,0.141451,141.451169,2,openmp_needles,3.141582900
400000,2,0.002886556,0.005703000,0.000000000,0.005703000,400000,0.138573,138.573442,2,openmp_needles,3.141246132
600000,2,0.006041805,0.011029000,0.000977000,0.012006000,600000,0.099308,99.308071,2,openmp_needles,3.141525734
900000,2,0.006122597,0.011117000,0.000975000,0.012092000,900000,0.146996,146.996446,2,openmp_needles,3.141690229
1350000,2,0.009476910,0.018503000,0.000000000,0.018503000,1350000,0.142451,142.451495,2,openmp_needles,3.141631740
2025000,2,0.022305319,0.039046000,0.000351000,0.039397000,2025000,0.090786,90.785521,2,openmp_needles,3.141595186
3037500,2,0.026386756,0.052173000,0.000000000,0.052173000,3037500,0.115115,115.114567,2,openmp_needles,3.141632553
4556250,2,0.035613567,0.070963000,0.000000000,0.070963000,4556250,0.127936,127.935795,2,openmp_needles,3.141578398
6834375,2,0.053198479,0.105709000,0.000340000,0.106049000,6834375,0.128469,128.469368,2,openmp_needles,3.141592839
10251562,2,0.076579035,0.152600000,0.000295000,0.152895000,10251562,0.133869,133.869041,2,openmp_needles,3.141581614
15377343,2,0.115336390,0.229696000,0.000310000,0.230006000,15377343,0.133326,133.326030,2,openmp_needles,3.141565248
23066015,2,0.167578254,0.334557000,0.000000000,0.334557000,23066015,0.137643,137.643247,2,openmp_needles,3.141585212
34599022,2,0.250130805,0.498278000,0.000000000,0.498278000,34599022,0.138324,138.323714,2,openmp_needles,3.141592869
51898533,2,0.373401309,0.742819000,0.000000000,0.742819000,51898533,0.138989,138.988621,2,openmp_needles,3.141575754
77847800,2,0.553800897,1.098719000,0.000358000,1.099077000,77847800,0.140570,140.570014,2,openmp_needles,3.141579007
116771700,2,0.828072016,1.643588000,0.000321000,1.643909000,116771700,0.141016,141.016358,2,openmp_needles,3.141579936
175157550,2,1.236408549,2.451195000,0.000279000,2.451474000,175157550,0.141666,141.666402,2,openmp_needles,3.141583627
262736325,2,1.847708436,3.672846000,0.000338000,3.673184000,262736325,0.142196,142.195771,2,openmp_needles,3.141582575
394104487,2,2.774451103,5.520214000,0.000177000,5.520391000,394104487,0.142048,142.047732,2,openmp_needles,3.141581745
591156730,2,4.186665957,8.317384000,0.000361000,8.317745000,591156730,0.141200,141.199880,2,openmp_needles,3.141582460
886735095,2,6.282021531,12.469358000,0.001322000,12.470680000,886735095,0.141154,141.154418,2,openmp_needles,3.141582961
1330102642,2,9.322296767,18.561033000,0.000000000,18.561033000,1330102642,0.142680,142.679715,2,openmp_needles,3.141582930
400000,2,0.003024354,0.005292000,0.000175000,0.005467000,400000,0.132260,132.259649,2,openmp_needles,3.141344810
600000,2,0.004045119,0.007476000,0.000439000,0.007915000,600000,0.148327,148.326910,2,openmp_needles,3.141492837
900000,2,0.006342438,0.011818000,0.000000000,0.011818000,900000,0.141901,141.901269,2,openmp_needles,3.141701196
1350000,2,0.013660968,0.024405000,0.000323000,0.024728000,1350000,0.098822,98.821694,2,openmp_needles,3.141631740
2025000,2,0.021117015,0.039443000,0.001904000,0.041347000,2025000,0.095894,95.894235,2,openmp_needles,3.141614681
3037500,2,0.036552511,0.066566000,0.000245000,0.066811000,3037500,0.083100,83.099626,2,openmp_needles,3.141619555
4556250,2,0.041390998,0.081471000,0.000345000,0.081816000,4556250,0.110078,110.078283,2,openmp_needles,3.141589229
6834375,2,0.056587406,0.112509000,0.000000000,0.112509000,6834375,0.120776,120.775549,2,openmp_needles,3.141594283
10251562,2,0.077329378,0.153325000,0.000454000,0.153779000,10251562,0.132570,132.570082,2,openmp_needles,3.141581614
15377343,2,0.114314101,0.227291000,0.000995000,0.228286000,15377343,0.134518,134.518339,2,openmp_needles,3.141563322
23066015,2,0.169102562,0.337291000,0.000393000,0.337684000,23066015,0.136403,136.402516,2,openmp_needles,3.141583073
34599022,2,0.250638530,0.500663000,0.000452000,0.501115000,34599022,0.138044,138.043508,2,openmp_needles,3.141591443
51898533,2,0.376289308,0.751502000,0.000335000,0.751837000,51898533,0.137922,137.921891,2,openmp_needles,3.141578416
77847800,2,0.554644795,1.106167000,0.000463000,1.106630000,77847800,0.140356,140.356135,2,openmp_needles,3.141579260
116771700,2,0.831319174,1.651672000,0.001000000,1.652672000,116771700,0.140466,140.465544,2,openmp_needles,3.141579683
175157550,2,1.237437238,2.470857000,0.000000000,2.470857000,175157550,0.141549,141.548633,2,openmp_needles,3.141583514
262736325,2,1.848781626,3.690591000,0.000000000,3.690591000,262736325,0.142113,142.113228,2,openmp_needles,3.141582613
394104487,2,2.764717081,5.488098000,0.000463000,5.488561000,394104487,0.142548,142.547854,2,openmp_needles,3.141581845
591156730,2,4.176272220,8.257799000,0.000353000,8.258152000,591156730,0.141551,141.551292,2,openmp_needles,3.141582460
886735095,2,6.178702095,12.285590000,0.000386000,12.285976000,886735095,0.143515,143.514784,2,openmp_needles,3.141582905
1330102642,2,9.237166918,18.355878000,0.000413000,18.356291000,1330102642,0.143995,143.994653,2,openmp_needles,3.141582908
400000,2,0.002839717,0.005328000,0.000166000,0.005494000,400000,0.140859,140.859107,2,openmp_needles,3.141344810
600000,2,0.006046983,0.011283000,0.000000000,0.011283000,600000,0.099223,99.223034,2,openmp_needles,3.141525734
900000,2,0.006813430,0.012662000,0.000000000,0.012662000,900000,0.132092,132.092059,2,openmp_needles,3.141690229
1350000,2,0.014992403,0.023746000,0.001020000,0.024766000,1350000,0.090046,90.045605,2,openmp_needles,3.141624429
2025000,2,0.019091843,0.036717000,0.000287000,0.037004000,2025000,0.106066,106.066240,2,openmp_needles,3.141614681
3037500,2,0.028490943,0.054919000,0.000241000,0.055160000,3037500,0.106613,106.612828,2,openmp_needles,3.141622805
4556250,2,0.037298735,0.073692000,0.000375000,0.074067000,4556250,0.122156,122.155617,2,openmp_needles,3.141604392
6834375,2,0.053452837,0.105622000,0.000332000,0.105954000,6834375,0.127858,127.858041,2,openmp_needles,3.141588507
10251562,2,0.076956705,0.151909000,0.001002000,0.152911000,10251562,0.133212,133.212070,2,openmp_needles,3.141581614
15377343,2,0.115245347,0.229523000,0.000430000,0.229953000,15377343,0.133431,133.431357,2,openmp_needles,3.141560755
23066015,2,0.170450000,0.339487000,0.000447000,0.339934000,23066015,0.135324,135.324230,2,openmp_needles,3.141583929
34599022,2,0.252868930,0.500408000,0.000340000,0.500748000,34599022,0.136826,136.825912,2,openmp_needles,3.141591157
51898533,2,0.378607700,0.744781000,0.000467000,0.745248000,51898533,0.137077,137.077331,2,openmp_needles,3.141577845
77847800,2,0.560617471,1.105169000,0.000354000,1.105523000,77847800,0.138861,138.860817,2,openmp_needles,3.141578880
116771700,2,0.836160490,1.650293000,0.000389000,1.650682000,116771700,0.139652,139.652257,2,openmp_needles,3.141579429
175157550,2,1.224783867,2.428261000,0.000406000,2.428667000,175157550,0.143011,143.010987,2,openmp_needles,3.141583683
262736325,2,1.826871094,3.621076000,0.000000000,3.621076000,262736325,0.143818,143.817660,2,openmp_needles,3.141582575
394104487,2,2.753326976,5.446395000,0.000277000,5.446672000,394104487,0.143138,143.137553,2,openmp_needles,3.141581845
591156730,2,4.114067270,8.109739000,0.000000000,8.109739000,591156730,0.143692,143.691557,2,openmp_needles,3.141582343
886735095,2,6.187722823,12.269068000,0.000291000,12.269359000,886735095,0.143306,143.305562,2,openmp_needles,3.141582972
1330102642,2,9.327824618,18.472367000,0.000999000,18.473366000,1330102642,0.142595,142.595160,2,openmp_needles,3.141582975
400000,2,0.002914156,0.005534000,0.000175000,0.005709000,400000,0.137261,137.261011,2,openmp_needles,3.141320140
600000,2,0.010765061,0.014209000,0.000000000,0.014209000,600000,0.055736,55.735866,2,openmp_needles,3.141377704
900000,2,0.006294557,0.011323000,0.000373000,0.011696000,900000,0.142981,142.980674,2,openmp_needles,3.141756032
