N,num_procesos,pi_est,real_time
400000,4,3.140900810,0.002444843
600000,4,3.137156481,0.003421361
900000,4,3.136609813,0.008597845
1350000,4,3.136442206,0.007562587
2025000,4,3.137705772,0.014612538
3037500,4,3.138561686,0.017529390
4556250,4,3.138358472,0.034918094
6834375,4,3.139576709,0.041503291
10251562,4,3.139601555,0.060564314
15377343,4,3.140355248,0.091580213
23066015,4,3.141300268,0.136610162
34599022,4,3.141528687,0.202790910
51898533,4,3.141232156,0.300391887
77847800,4,3.141309750,0.448623066
116771700,4,3.141057437,0.675867610
400000,4,3.142060406,0.002827733
600000,4,3.142973882,0.003948313
900000,4,3.142699509,0.009560998
1350000,4,3.150054601,0.008219294
2025000,4,3.147909788,0.015472607
3037500,4,3.145390023,0.020961491
4556250,4,3.143082425,0.030521518
6834375,4,3.142589593,0.043386476
10251562,4,3.141912830,0.067169389
15377343,4,3.142132716,0.090313007
23066015,4,3.141923276,0.136116343
34599022,4,3.141299082,0.201759508
51898533,4,3.141372856,0.302077239
77847800,4,3.141691718,0.447059492
116771700,4,3.141159506,0.682214518
400000,4,3.132488606,0.003022891
600000,4,3.138518515,0.003761351
900000,4,3.138863313,0.005125279
1350000,4,3.138068019,0.009001155
2025000,4,3.137229385,0.014278519
3037500,4,3.138568172,0.020064422
4556250,4,3.140816099,0.030244216
6834375,4,3.140387468,0.044312880
10251562,4,3.140472935,0.063785087
15377343,4,3.140241097,0.094361318
23066015,4,3.141347755,0.138318829
34599022,4,3.139786806,0.204081970
51898533,4,3.139993963,0.301866672
77847800,4,3.140618691,0.450075660
116771700,4,3.141505814,0.666793717
400000,4,3.135631751,0.002958379
600000,4,3.142694022,0.005936837
900000,4,3.145016721,0.008343357
1350000,4,3.140944657,0.007307707
2025000,4,3.137292571,0.013004081
3037500,4,3.139210418,0.019173765
4556250,4,3.140160211,0.033497119
6834375,4,3.141536520,0.049115942
10251562,4,3.140118939,0.065076579
15377343,4,3.141551128,0.094002632
23066015,4,3.141364868,0.138289393
34599022,4,3.141572616,0.204218848
51898533,4,3.141841633,0.302584203
77847800,4,3.141414836,0.446090727
116771700,4,3.141196686,0.670104539
400000,4,3.154325369,0.002794360
600000,4,3.153164989,0.005072028
900000,4,3.149859831,0.006812605
1350000,4,3.147696935,0.007947932
2025000,4,3.143741161,0.011630315
3037500,4,3.143534564,0.026420587
4556250,4,3.143357813,0.028966972
6834375,4,3.144493849,0.041444491
10251562,4,3.143776256,0.062827043
15377343,4,3.143640327,0.093092238
23066015,4,3.142676265,0.139001013
34599022,4,3.141871304,0.205816055
51898533,4,3.140972463,0.301626921
77847800,4,3.141107330,0.442958872
116771700,4,3.141654400,0.670098057
400000,4,3.141665554,0.002950274
600000,4,3.143187926,0.004030748
900000,4,3.144170708,0.008001854
1350000,4,3.141448976,0.008681413
2025000,4,3.139403467,0.015748467
3037500,4,3.141466845,0.020709205
4556250,4,3.140567132,0.029394345
6834375,4,3.141956797,0.044357955
10251562,4,3.141012741,0.064639866
15377343,4,3.141758447,0.089579586
23066015,4,3.142630879,0.135018946
34599022,4,3.142332429,0.205722568
51898533,4,3.142464856,0.300813179
77847800,4,3.141935932,0.451084768
116771700,4,3.141971397,0.673648591
400000,4,3.154350243,0.002813075
600000,4,3.154690236,0.007828247
900000,4,3.149308727,0.005806801
1350000,4,3.144771294,0.008730856
2025000,4,3.144966656,0.016180761
3037500,4,3.142068024,0.018452928
4556250,4,3.141675878,0.030314788
6834375,4,3.142082469,0.044876841
10251562,4,3.141423734,0.064234824
15377343,4,3.141474754,0.093607068
23066015,4,3.140607376,0.134233758
34599022,4,3.141522127,0.201305112
51898533,4,3.142252141,0.304675079
77847800,4,3.141350820,0.451931953
116771700,4,3.141613745,0.673166923
400000,4,3.125000000,0.002776156
600000,4,3.130854045,0.006370553
900000,4,3.134752564,0.005543346
1350000,4,3.138009665,0.014223486
2025000,4,3.137997508,0.011768936
3037500,4,3.138908724,0.019647236
4556250,4,3.140759807,0.028372021
6834375,4,3.140250388,0.042889220
10251562,4,3.140140099,0.064539447
15377343,4,3.140635531,0.092785421
23066015,4,3.141599761,0.138143127
34599022,4,3.142033652,0.201599135
51898533,4,3.142615943,0.309557560
77847800,4,3.141449823,0.450891032
116771700,4,3.141727599,0.672133426
400000,4,3.141394151,0.002894670
600000,4,3.146946675,0.004086142
900000,4,3.143303193,0.011320511
1350000,4,3.136624388,0.011623812
2025000,4,3.141590312,0.013442707
3037500,4,3.145324882,0.018103050
4556250,4,3.143388174,0.028895366
6834375,4,3.143182166,0.045916539
10251562,4,3.142472396,0.083094878
15377343,4,3.143039550,0.092050126
23066015,4,3.142089340,0.136003780
34599022,4,3.142066181,0.202725385
51898533,4,3.141738357,0.303705162
77847800,4,3.141030907,0.450643136
116771700,4,3.141262427,0.671779741
400000,4,3.143912599,0.002933402
600000,4,3.139191763,0.004346773
900000,4,3.142589773,0.008591214
1350000,4,3.141558632,0.008348636
2025000,4,3.140158047,0.014362508
3037500,4,3.140057415,0.019472267
4556250,4,3.141238349,0.034186837
6834375,4,3.139504597,0.043408187
10251562,4,3.140953074,0.063548862
15377343,4,3.140346270,0.092521745
23066015,4,3.141001261,0.135757747
34599022,4,3.141031014,0.204053075
51898533,4,3.141835736,0.302619939
77847800,4,3.142194769,0.452586253
116771700,4,3.141939525,0.675626272
175157550,4,3.141721232,0.825312492
262736325,4,3.141634753,1.244463085
394104487,4,3.141547036,1.874749123
591156730,4,3.141495346,2.809594551
886735095,4,3.141577785,4.235457586
1330102642,4,3.141562310,6.329210184
175157550,4,3.141819794,0.836673039
262736325,4,3.141617060,1.255748228
394104487,4,3.141648711,1.878635699
591156730,4,3.141580941,2.824167125
886735095,4,3.141628863,4.233693528
1330102642,4,3.141573662,6.362453876
175157550,4,3.141938482,0.838109440
262736325,4,3.141613529,1.259146259
394104487,4,3.141592589,1.888148388
591156730,4,3.141646672,2.827181973
886735095,4,3.141530783,4.240016274
1330102642,4,3.141589898,6.360954700
175157550,4,3.141814947,0.840909389
262736325,4,3.141639637,1.259779072
394104487,4,3.141481251,1.889470938
591156730,4,3.141689714,2.825816158
886735095,4,3.141576060,4.242377140
1330102642,4,3.141575243,6.354639387
175157550,4,3.141557370,0.839370736
262736325,4,3.141470525,1.259611857
394104487,4,3.141676210,1.887715825
591156730,4,3.141487867,2.834497754
886735095,4,3.141614315,4.236624213
1330102642,4,3.141615297,6.379489727
175157550,4,3.141425188,0.839854152
262736325,4,3.141619840,1.262488562
394104487,4,3.141524498,1.887325613
591156730,4,3.141554062,2.830477992
886735095,4,3.141569627,4.241540496
1330102642,4,3.141600486,6.355571605
175157550,4,3.141264456,0.840028907
262736325,4,3.141590163,1.258609533
394104487,4,3.141742078,1.889282648
591156730,4,3.141603396,2.829206099
886735095,4,3.141560367,4.239217851
1330102642,4,3.141594187,6.372450309
175157550,4,3.141465585,0.841734409
262736325,4,3.141587008,1.260917023
394104487,4,3.141534439,1.887040791
591156730,4,3.141564429,2.839504514
886735095,4,3.141617120,4.249078837
1330102642,4,3.141575859,6.354729873
175157550,4,3.142080007,0.845584149
262736325,4,3.141638435,1.260726768
394104487,4,3.141615127,1.891724871
591156730,4,3.141556733,2.823091337
886735095,4,3.141643577,4.256833642
1330102642,4,3.141588280,6.358742488
175157550,4,3.141603010,0.839529022
262736325,4,3.141546288,1.258370098
394104487,4,3.141680417,1.891211369
591156730,4,3.141572309,2.829226607
886735095,4,3.141549838,4.244220620
1330102642,4,3.141588607,6.368338117
