N,num_procesos,pi_est,real_time
886735095,8,3.141504361,2.559467042
1330102642,8,3.141576438,3.840824702
175157550,8,3.141406258,0.518768768
262736325,8,3.141641966,0.757663658
394104487,8,3.141552194,1.141403634
591156730,8,3.141578386,1.681297276
886735095,8,3.141548402,2.626160589
1330102642,8,3.141632215,3.847975510
175157550,8,3.141771724,0.505374106
262736325,8,3.141336397,0.760791881
394104487,8,3.141545859,1.145144015
591156730,8,3.141570289,1.716962037
886735095,8,3.141547679,2.571274010
1330102642,8,3.141560922,3.804997305
175157550,8,3.141288905,0.508829714
262736325,8,3.141262972,0.764158167
394104487,8,3.141508321,1.146464093
591156730,8,3.141573361,1.716241257
886735095,8,3.141579733,2.635271643
1330102642,8,3.141524186,3.954788615
175157550,8,3.141721457,0.507395347
262736325,8,3.141435330,0.782448657
394104487,8,3.141433122,1.170187347
591156730,8,3.141552058,1.734531719
886735095,8,3.141690549,2.582483396
1330102642,8,3.141672664,4.000207313
175157550,8,3.141202037,0.505914918
262736325,8,3.141527357,0.764117151
394104487,8,3.141632057,1.125695093
591156730,8,3.141563327,1.713529052
886735095,8,3.141545442,2.593388513
1330102642,8,3.141528771,3.959626720
175157550,8,3.141642567,0.526155207
262736325,8,3.141667022,0.781732145
394104487,8,3.141496025,1.153534005
591156730,8,3.141596685,1.722980878
886735095,8,3.141622630,2.581976339
1330102642,8,3.141573811,3.883880478
175157550,8,3.141456627,0.504659900
262736325,8,3.141459143,0.783029394
394104487,8,3.141807724,1.159671476
591156730,8,3.141642164,1.691867689
886735095,8,3.141605511,2.649222252
1330102642,8,3.141559980,3.866773251
