size,user_time
500,0.394978000
675,0.891028000
911,2.131934000
1229,6.077743000
1658,12.639774000
2239,32.932730000
3023,103.706740000
4081,199.744852000
5510,674.277026000
500,0.351887000
675,0.857124000
911,3.074281000
1229,5.130544000
1658,12.635995000
2239,31.910227000
3023,111.924692000
4081,186.979942000
5510,677.442198000
500,0.380860000
675,0.869954000
911,3.103397000
1229,7.028744000
1658,19.268071000
2239,45.792479000
3023,113.593440000
4081,248.510921000
5510,608.137317000
500,0.601530000
675,0.895982000
911,2.118695000
1229,7.067440000
1658,12.645169000
2239,30.742896000
3023,112.114230000
4081,188.443800000
5510,676.505552000
500,0.356069000
675,0.881857000
911,3.028840000
1229,7.113670000
1658,12.656457000
2239,45.473296000
3023,104.025469000
4081,245.320635000
5510,683.126759000
500,0.345923000
675,0.874429000
911,3.031743000
1229,5.081724000
1658,12.653297000
2239,31.924671000
3023,99.345969000
4081,244.535934000
5510,462.548924000
500,0.347738000
675,0.861408000
911,3.033150000
1229,6.078673000
1658,13.380078000
2239,37.383914000
3023,88.398830000
4081,187.475282000
5510,526.759251000
500,0.347947000
675,0.848536000
911,3.025953000
1229,6.087158000
1658,18.292686000
2239,43.997455000
3023,106.796403000
4081,262.440228000
5510,462.992633000
500,0.358380000
675,0.886296000
911,3.038738000
1229,5.112372000
1658,18.523796000
2239,35.108133000
3023,111.956428000
4081,255.532771000
5510,518.032219000
500,0.353809000
675,0.863584000
911,2.090591000
1229,6.086796000
1658,18.466288000
2239,30.805284000
3023,88.322195000
4081,275.463879000
5510,464.410328000
