size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm
911,4,0.025450495,0.096143000,0.000000000,0.096143000,1511286141,59.381405,32.609228,11,openmp
911,4,0.021537127,0.084630000,0.000000000,0.084630000,1511286141,70.171204,38.534434,11,openmp
911,4,0.023026879,0.087700000,0.000000000,0.087700000,1511286141,65.631393,36.041402,11,openmp
911,4,0.026170073,0.101831000,0.000000000,0.101831000,1511286141,57.748641,31.712598,11,openmp
911,8,0.022438388,0.157225000,0.000000000,0.157225000,1511286141,67.352706,36.986659,11,openmp
911,8,0.029486112,0.191397000,0.000854000,0.192251000,1511286141,51.254168,28.146166,11,openmp
911,8,0.025658828,0.188093000,0.000791000,0.188884000,1511286141,58.899266,32.344462,11,openmp
911,8,0.027084429,0.203320000,0.000929000,0.204249000,1511286141,55.799077,30.641997,11,openmp
911,8,0.025325198,0.189735000,0.000000000,0.189735000,1511286141,59.675195,32.770563,11,openmp
911,8,0.036732934,0.233269000,0.000000000,0.233269000,1511286141,41.142538,22.593376,11,openmp
911,8,0.027149282,0.201448000,0.000000000,0.201448000,1511286141,55.665787,30.568801,11,openmp
911,8,0.033687525,0.219181000,0.001692000,0.220873000,1511286141,44.861893,24.635856,11,openmp
911,8,0.030799623,0.197425000,0.000000000,0.197425000,1511286141,49.068332,26.945817,11,openmp
911,8,0.029186808,0.190043000,0.000076000,0.190119000,1511286141,51.779768,28.434798,11,openmp
911,12,0.025883522,0.241272000,0.000032000,0.241304000,1511286141,58.387964,32.063681,11,openmp
911,12,0.029897930,0.256271000,0.001806000,0.258077000,1511286141,50.548186,27.758477,11,openmp
911,12,0.016921033,0.174753000,0.000000000,0.174753000,1511286141,89.314059,49.046710,11,openmp
911,12,0.037885259,0.239831000,0.002069000,0.241900000,1511286141,39.891139,21.906172,11,openmp
911,12,0.035028716,0.306697000,0.000983000,0.307680000,1511286141,43.144206,23.692590,11,openmp
911,12,0.019558271,0.188746000,0.001193000,0.189939000,1511286141,77.270948,42.433250,11,openmp
911,12,0.032248959,0.237847000,0.002194000,0.240041000,1511286141,46.863098,25.734815,11,openmp
911,12,0.024447511,0.230049000,0.001837000,0.231886000,1511286141,61.817587,33.947055,11,openmp
911,12,0.027226487,0.207252000,0.000000000,0.207252000,1511286141,55.507938,30.482118,11,openmp
911,12,0.033786451,0.270573000,0.004352000,0.274925000,1511286141,44.730538,24.563722,11,openmp
1229,2,0.074065429,0.147482000,0.000029000,0.147511000,3711153537,50.106421,20.393334,19,openmp
1229,2,0.071016723,0.141788000,0.000054000,0.141842000,3711153537,52.257460,21.268807,18,openmp
1229,2,0.074225130,0.147801000,0.000000000,0.147801000,3711153537,49.998613,20.349456,19,openmp
1229,2,0.077967064,0.155002000,0.000000000,0.155002000,3711153537,47.598990,19.372808,19,openmp
