modo,algoritmo,tamaño,workers,iteracion,tiempo
Procesos,Needles,6834375,2,9,0.0727
Procesos,Needles,10251562,2,9,0.1073
Procesos,Needles,15377343,2,9,0.1565
Procesos,Needles,23066015,2,9,0.2274
Procesos,Needles,34599022,2,9,0.3441
Procesos,Needles,51898533,2,9,0.5040
Procesos,Needles,77847800,2,9,0.7527
Procesos,Needles,116771700,2,9,1.1161
Procesos,Needles,400000,2,10,0.0060
Procesos,Needles,600000,2,10,0.0081
Procesos,Needles,900000,2,10,0.0126
Procesos,Needles,1350000,2,10,0.0186
Procesos,Needles,2025000,2,10,0.0317
Procesos,Needles,3037500,2,10,0.0381
Procesos,Needles,4556250,2,10,0.0514
Procesos,Needles,6834375,2,10,0.0719
Procesos,Needles,10251562,2,10,0.1064
Procesos,Needles,15377343,2,10,0.1553
Procesos,Needles,23066015,2,10,0.2311
Procesos,Needles,34599022,2,10,0.3375
Procesos,Needles,51898533,2,10,0.5050
Procesos,Needles,77847800,2,10,0.7497
Procesos,Needles,116771700,2,10,1.1376
Procesos,Needles,400000,4,1,0.0042
Procesos,Needles,600000,4,1,0.0049
Procesos,Needles,900000,4,1,0.0105
Procesos,Needles,1350000,4,1,0.0093
Procesos,Needles,2025000,4,1,0.0176
Procesos,Needles,3037500,4,1,0.0197
Procesos,Needles,4556250,4,1,0.0374
Procesos,Needles,6834375,4,1,0.0439
Procesos,Needles,10251562,4,1,0.0627
Procesos,Needles,15377343,4,1,0.0938
Procesos,Needles,23066015,4,1,0.1388
Procesos,Needles,34599022,4,1,0.2051
Procesos,Needles,51898533,4,1,0.3027
Procesos,Needles,77847800,4,1,0.4509
Procesos,Needles,116771700,4,1,0.6782
Procesos,Needles,400000,4,2,0.0048
Procesos,Needles,600000,4,2,0.0056
Procesos,Needles,900000,4,2,0.0121
Procesos,Needles,1350000,4,2,0.0101
Procesos,Needles,2025000,4,2,0.0181
Procesos,Needles,3037500,4,2,0.0235
Procesos,Needles,4556250,4,2,0.0328
Procesos,Needles,6834375,4,2,0.0458
Procesos,Needles,10251562,4,2,0.0698
Procesos,Needles,15377343,4,2,0.0924
Procesos,Needles,23066015,4,2,0.1382
Procesos,Needles,34599022,4,2,0.2039
Procesos,Needles,51898533,4,2,0.3043
Procesos,Needles,77847800,4,2,0.4492
Procesos,Needles,116771700,4,2,0.6844
Procesos,Needles,400000,4,3,0.0050
Procesos,Needles,600000,4,3,0.0055
Procesos,Needles,900000,4,3,0.0067
Procesos,Needles,1350000,4,3,0.0109
Procesos,Needles,2025000,4,3,0.0167
Procesos,Needles,3037500,4,3,0.0222
Procesos,Needles,4556250,4,3,0.0325
Procesos,Needles,6834375,4,3,0.0471
Procesos,Needles,10251562,4,3,0.0659
Procesos,Needles,15377343,4,3,0.0966
Procesos,Needles,23066015,4,3,0.1403
Procesos,Needles,34599022,4,3,0.2061
Procesos,Needles,51898533,4,3,0.3039
Procesos,Needles,77847800,4,3,0.4525
Procesos,Needles,116771700,4,3,0.6691
Procesos,Needles,400000,4,4,0.0050
Procesos,Needles,600000,4,4,0.0080
Procesos,Needles,900000,4,4,0.0106
Procesos,Needles,1350000,4,4,0.0090
Procesos,Needles,2025000,4,4,0.0148
Procesos,Needles,3037500,4,4,0.0216
Procesos,Needles,4556250,4,4,0.0364
Procesos,Needles,6834375,4,4,0.0520
Procesos,Needles,10251562,4,4,0.0674
Procesos,Needles,15377343,4,4,0.0962
Procesos,Needles,23066015,4,4,0.1405
Procesos,Needles,34599022,4,4,0.2065
Procesos,Needles,51898533,4,4,0.3047
Procesos,Needles,77847800,4,4,0.4481
Procesos,Needles,116771700,4,4,0.6722
Procesos,Needles,400000,4,5,0.0048
Procesos,Needles,600000,4,5,0.0068
Procesos,Needles,900000,4,5,0.0087
Procesos,Needles,1350000,4,5,0.0097
Procesos,Needles,2025000,4,5,0.0135
Procesos,Needles,3037500,4,5,0.0287
Procesos,Needles,4556250,4,5,0.0317
Procesos,Needles,6834375,4,5,0.0437
Procesos,Needles,10251562,4,5,0.0650
Procesos,Needles,15377343,4,5,0.0952
Procesos,Needles,23066015,4,5,0.1410
Procesos,Needles,34599022,4,5,0.2079
Procesos,Needles,51898533,4,5,0.3037
Procesos,Needles,77847800,4,5,0.4452
Procesos,Needles,116771700,4,5,0.6724
Procesos,Needles,400000,4,6,0.0049
Procesos,Needles,600000,4,6,0.0057
Procesos,Needles,900000,4,6,0.0100
Procesos,Needles,1350000,4,6,0.0171
Procesos,Needles,2025000,4,6,0.0181
Procesos,Needles,3037500,4,6,0.0232
Procesos,Needles,4556250,4,6,0.0318
Procesos,Needles,6834375,4,6,0.0468
Procesos,Needles,10251562,4,6,0.0669
Procesos,Needles,15377343,4,6,0.0919
Procesos,Needles,23066015,4,6,0.1371
Procesos,Needles,34599022,4,6,0.2079
Procesos,Needles,51898533,4,6,0.3030
Procesos,Needles,77847800,4,6,0.4531
Procesos,Needles,116771700,4,6,0.6760
Procesos,Needles,400000,4,7,0.0049
Procesos,Needles,600000,4,7,0.0097
Procesos,Needles,900000,4,7,0.0080
Procesos,Needles,1350000,4,7,0.0107
Procesos,Needles,2025000,4,7,0.0185
Procesos,Needles,3037500,4,7,0.0205
Procesos,Needles,4556250,4,7,0.0328
Procesos,Needles,6834375,4,7,0.0474
Procesos,Needles,10251562,4,7,0.0664
Procesos,Needles,15377343,4,7,0.0958
Procesos,Needles,23066015,4,7,0.1367
Procesos,Needles,34599022,4,7,0.2034
Procesos,Needles,51898533,4,7,0.3069
Procesos,Needles,77847800,4,7,0.4540
Procesos,Needles,116771700,4,7,0.6752
Procesos,Needles,400000,4,8,0.0063
Procesos,Needles,600000,4,8,0.0091
Procesos,Needles,900000,4,8,0.0074
Procesos,Needles,1350000,4,8,0.0164
Procesos,Needles,2025000,4,8,0.0137
Procesos,Needles,3037500,4,8,0.0214
Procesos,Needles,4556250,4,8,0.0307
Procesos,Needles,6834375,4,8,0.0456
Procesos,Needles,10251562,4,8,0.0667
Procesos,Needles,15377343,4,8,0.0949
Procesos,Needles,23066015,4,8,0.1406
Procesos,Needles,34599022,4,8,0.2038
Procesos,Needles,51898533,4,8,0.3116
Procesos,Needles,77847800,4,8,0.4530
Procesos,Needles,116771700,4,8,0.6745
Procesos,Needles,400000,4,9,0.0049
Procesos,Needles,600000,4,9,0.0058
Procesos,Needles,900000,4,9,0.0137
Procesos,Needles,1350000,4,9,0.0141
Procesos,Needles,2025000,4,9,0.0157
Procesos,Needles,3037500,4,9,0.0221
Procesos,Needles,4556250,4,9,0.0316
Procesos,Needles,6834375,4,9,0.0484
Procesos,Needles,10251562,4,9,0.0858
Procesos,Needles,15377343,4,9,0.0946
Procesos,Needles,23066015,4,9,0.1383
Procesos,Needles,34599022,4,9,0.2048
Procesos,Needles,51898533,4,9,0.3059
Procesos,Needles,77847800,4,9,0.4530
Procesos,Needles,116771700,4,9,0.6739
Procesos,Needles,400000,4,10,0.0049
Procesos,Needles,600000,4,10,0.0063
Procesos,Needles,900000,4,10,0.0108
Procesos,Needles,1350000,4,10,0.0104
Procesos,Needles,2025000,4,10,0.0166
Procesos,Needles,3037500,4,10,0.0216
Procesos,Needles,4556250,4,10,0.0367
Procesos,Needles,6834375,4,10,0.0460
Procesos,Needles,10251562,4,10,0.0656
Procesos,Needles,15377343,4,10,0.0945
Procesos,Needles,23066015,4,10,0.1380
Procesos,Needles,34599022,4,10,0.2061
Procesos,Needles,51898533,4,10,0.3048
Procesos,Needles,77847800,4,10,0.4549
Procesos,Needles,116771700,4,10,0.6776
Procesos,Needles,400000,8,1,0.0042
Procesos,Needles,600000,8,1,0.0085
Procesos,Needles,900000,8,1,0.0084
Procesos,Needles,1350000,8,1,0.0071
Procesos,Needles,2025000,8,1,0.0149
Procesos,Needles,3037500,8,1,0.0136
Procesos,Needles,4556250,8,1,0.0217
Procesos,Needles,6834375,8,1,0.0375
Procesos,Needles,10251562,8,1,0.0491
Procesos,Needles,15377343,8,1,0.0663
Procesos,Needles,23066015,8,1,0.0936
Procesos,Needles,34599022,8,1,0.1340
Procesos,Needles,51898533,8,1,0.1904
Procesos,Needles,77847800,8,1,0.2963
Procesos,Needles,116771700,8,1,0.4216
Procesos,Needles,400000,8,2,0.0041
Procesos,Needles,600000,8,2,0.0044
Procesos,Needles,900000,8,2,0.0057
Procesos,Needles,1350000,8,2,0.0099
Procesos,Needles,2025000,8,2,0.0100
Procesos,Needles,3037500,8,2,0.0148
Procesos,Needles,4556250,8,2,0.0294
Procesos,Needles,6834375,8,2,0.0394
Procesos,Needles,10251562,8,2,0.0568
Procesos,Needles,15377343,8,2,0.0702
Procesos,Needles,23066015,8,2,0.0960
Procesos,Needles,34599022,8,2,0.1340
Procesos,Needles,51898533,8,2,0.1839
Procesos,Needles,77847800,8,2,0.2931
Procesos,Needles,116771700,8,2,0.4072
Procesos,Needles,400000,8,3,0.0040
Procesos,Needles,600000,8,3,0.0039
Procesos,Needles,900000,8,3,0.0094
Procesos,Needles,1350000,8,3,0.0076
Procesos,Needles,2025000,8,3,0.0099
Procesos,Needles,3037500,8,3,0.0215
Procesos,Needles,4556250,8,3,0.0227
Procesos,Needles,6834375,8,3,0.0349
Procesos,Needles,10251562,8,3,0.0524
Procesos,Needles,15377343,8,3,0.0731
Procesos,Needles,23066015,8,3,0.0859
Procesos,Needles,34599022,8,3,0.1408
Procesos,Needles,51898533,8,3,0.1977
Procesos,Needles,77847800,8,3,0.2801
Procesos,Needles,116771700,8,3,0.4161
Procesos,Needles,400000,8,4,0.0040
Procesos,Needles,600000,8,4,0.0080
Procesos,Needles,900000,8,4,0.0083
Procesos,Needles,1350000,8,4,0.0114
Procesos,Needles,2025000,8,4,0.0123
Procesos,Needles,3037500,8,4,0.0139
Procesos,Needles,4556250,8,4,0.0285
Procesos,Needles,6834375,8,4,0.0415
Procesos,Needles,10251562,8,4,0.0517
Procesos,Needles,15377343,8,4,0.0693
Procesos,Needles,23066015,8,4,0.0967
Procesos,Needles,34599022,8,4,0.1406
Procesos,Needles,51898533,8,4,0.1965
Procesos,Needles,77847800,8,4,0.2713
Procesos,Needles,116771700,8,4,0.4225
Procesos,Needles,400000,8,5,0.0040
Procesos,Needles,600000,8,5,0.0046
Procesos,Needles,900000,8,5,0.0139
Procesos,Needles,1350000,8,5,0.0089
Procesos,Needles,2025000,8,5,0.0149
Procesos,Needles,3037500,8,5,0.0135
Procesos,Needles,4556250,8,5,0.0302
Procesos,Needles,6834375,8,5,0.0402
Procesos,Needles,10251562,8,5,0.0492
Procesos,Needles,15377343,8,5,0.0701
Procesos,Needles,23066015,8,5,0.0957
Procesos,Needles,34599022,8,5,0.1456
Procesos,Needles,51898533,8,5,0.1971
Procesos,Needles,77847800,8,5,0.2885
Procesos,Needles,116771700,8,5,0.4184
Procesos,Needles,400000,8,6,0.0039
Procesos,Needles,600000,8,6,0.0052
Procesos,Needles,900000,8,6,0.0092
Procesos,Needles,1350000,8,6,0.0069
Procesos,Needles,2025000,8,6,0.0119
Procesos,Needles,3037500,8,6,0.0189
Procesos,Needles,4556250,8,6,0.0318
Procesos,Needles,6834375,8,6,0.0451
Procesos,Needles,10251562,8,6,0.0469
Procesos,Needles,15377343,8,6,0.0666
Procesos,Needles,23066015,8,6,0.1014
Procesos,Needles,34599022,8,6,0.1340
Procesos,Needles,51898533,8,6,0.1862
Procesos,Needles,77847800,8,6,0.2970
Procesos,Needles,116771700,8,6,0.4106
Procesos,Needles,400000,8,7,0.0040
Procesos,Needles,600000,8,7,0.0044
Procesos,Needles,900000,8,7,0.0092
Procesos,Needles,1350000,8,7,0.0078
Procesos,Needles,2025000,8,7,0.0091
Procesos,Needles,3037500,8,7,0.0205
Procesos,Needles,4556250,8,7,0.0212
Procesos,Needles,6834375,8,7,0.0385
Procesos,Needles,10251562,8,7,0.0512
Procesos,Needles,15377343,8,7,0.0720
Procesos,Needles,23066015,8,7,0.1040
Procesos,Needles,34599022,8,7,0.1336
Procesos,Needles,51898533,8,7,0.2049
Procesos,Needles,77847800,8,7,0.2971
Procesos,Needles,116771700,8,7,0.4116
Procesos,Needles,400000,8,8,0.0041
Procesos,Needles,600000,8,8,0.0061
Procesos,Needles,900000,8,8,0.0103
Procesos,Needles,1350000,8,8,0.0071
Procesos,Needles,2025000,8,8,0.0174
Procesos,Needles,3037500,8,8,0.0132
Procesos,Needles,4556250,8,8,0.0231
Procesos,Needles,6834375,8,8,0.0377
Procesos,Needles,10251562,8,8,0.0395
Procesos,Needles,15377343,8,8,0.0725
Procesos,Needles,23066015,8,8,0.1023
Procesos,Needles,34599022,8,8,0.1375
Procesos,Needles,51898533,8,8,0.1919
Procesos,Needles,77847800,8,8,0.2894
Procesos,Needles,116771700,8,8,0.4104
Procesos,Needles,400000,8,9,0.0042
Procesos,Needles,600000,8,9,0.0052
Procesos,Needles,900000,8,9,0.0098
Procesos,Needles,1350000,8,9,0.0076
Procesos,Needles,2025000,8,9,0.0130
Procesos,Needles,3037500,8,9,0.0171
Procesos,Needles,4556250,8,9,0.0220
Procesos,Needles,6834375,8,9,0.0379
Procesos,Needles,10251562,8,9,0.0520
Procesos,Needles,15377343,8,9,0.0702
Procesos,Needles,23066015,8,9,0.0970
Procesos,Needles,34599022,8,9,0.1274
Procesos,Needles,51898533,8,9,0.1985
Procesos,Needles,77847800,8,9,0.2883
Procesos,Needles,116771700,8,9,0.4343
Procesos,Needles,400000,8,10,0.0044
Procesos,Needles,600000,8,10,0.0063
Procesos,Needles,900000,8,10,0.0078
Procesos,Needles,1350000,8,10,0.0081
Procesos,Needles,2025000,8,10,0.0169
Procesos,Needles,3037500,8,10,0.0138
Procesos,Needles,4556250,8,10,0.0309
Procesos,Needles,6834375,8,10,0.0375
Procesos,Needles,10251562,8,10,0.0471
Procesos,Needles,15377343,8,10,0.0646
Procesos,Needles,23066015,8,10,0.0859
Procesos,Needles,34599022,8,10,0.1492
Procesos,Needles,51898533,8,10,0.1998
Procesos,Needles,77847800,8,10,0.2952
Procesos,Needles,116771700,8,10,0.4265
Procesos,Needles,400000,12,1,0.0040
Procesos,Needles,600000,12,1,0.0059
Procesos,Needles,900000,12,1,0.0092
Procesos,Needles,1350000,12,1,0.0080
Procesos,Needles,2025000,12,1,0.0076
Procesos,Needles,3037500,12,1,0.0213
Procesos,Needles,4556250,12,1,0.0184
Procesos,Needles,6834375,12,1,0.0398
Procesos,Needles,10251562,12,1,0.0464
Procesos,Needles,15377343,12,1,0.0579
Procesos,Needles,23066015,12,1,0.0826
Procesos,Needles,34599022,12,1,0.1128
Procesos,Needles,51898533,12,1,0.1552
Procesos,Needles,77847800,12,1,0.2239
Procesos,Needles,116771700,12,1,0.3352
Procesos,Needles,400000,12,2,0.0041
Procesos,Needles,600000,12,2,0.0048
Procesos,Needles,900000,12,2,0.0083
Procesos,Needles,1350000,12,2,0.0073
Procesos,Needles,2025000,12,2,0.0177
Procesos,Needles,3037500,12,2,0.0191
Procesos,Needles,4556250,12,2,0.0270
Procesos,Needles,6834375,12,2,0.0311
Procesos,Needles,10251562,12,2,0.0435
Procesos,Needles,15377343,12,2,0.0612
Procesos,Needles,23066015,12,2,0.0820
Procesos,Needles,34599022,12,2,0.1175
Procesos,Needles,51898533,12,2,0.1594
Procesos,Needles,77847800,12,2,0.2290
Procesos,Needles,116771700,12,2,0.3851
Procesos,Needles,400000,12,3,0.0037
Procesos,Needles,600000,12,3,0.0049
Procesos,Needles,900000,12,3,0.0067
Procesos,Needles,1350000,12,3,0.0088
Procesos,Needles,2025000,12,3,0.0079
Procesos,Needles,3037500,12,3,0.0151
Procesos,Needles,4556250,12,3,0.0295
Procesos,Needles,6834375,12,3,0.0379
Procesos,Needles,10251562,12,3,0.0517
Procesos,Needles,15377343,12,3,0.0697
