iteracion,911,1229,1658,2039,3023,4081
0,0.527612,1.270771,3.605646,6.66434,22.194055,55.731494
1,0.538532,1.44041,3.731629,6.71891,22.547511,57.61577
2,0.567023,2.164228,4.136936,7.208297,21.732646,54.450874
3,0.528436,1.372584,3.494042,8.536086,21.876605,54.15862
4,0.532242,1.279345,3.498088,6.669541,22.869913,54.691765
5,0.51897,1.284069,4.091292,6.548975,21.927825,53.68233
6,0.51774,1.374337,3.623587,6.81466,21.664431,54.771879
7,0.616619,1.319801,3.633285,6.832723,21.939134,54.655875
8,0.511769,1.270575,4.7432,6.657964,21.446632,54.097513
9,0.516162,1.285399,3.566889,6.555815,22.439082,54.206332
