iteracion,911,1229,1658,2039,3023,4081
0,0.288765,0.581975,1.278106,2.299758,8.297918,18.860281
1,0.270171,0.545046,1.370159,2.279394,8.043193,19.153056
2,0.265647,0.523144,1.295059,2.394255,7.511492,17.642009
3,0.267891,0.538041,1.247584,2.504528,7.940919,18.062038
4,0.235763,0.495206,1.366901,2.421521,8.118475,19.620034
5,0.263511,0.565082,1.397479,2.273181,8.016243,18.567943
6,0.262832,0.603978,1.384072,2.315586,7.12655,18.77457
7,0.264023,0.625918,1.266429,2.491727,7.754577,18.910068
8,0.244571,0.568096,1.455853,2.502084,8.028903,18.734974
9,0.944464,0.618231,1.35885,2.47934,7.520066,17.643476
