tamaño,tiempo
911,0.183974
1229,0.424278
1658,1.035621
2039,1.926327
3023,6.282873
4081,15.418962
911,0.172675
1229,0.427656
1658,1.041787
2039,1.987164
3023,6.286105
4081,15.485761
911,0.175975
1229,0.431481
1658,1.041076
2039,1.932046
3023,6.265043
4081,15.407973
911,0.206942
1229,0.431071
1658,1.043940
2039,1.934974
3023,6.284638
4081,15.627982
911,0.174981
1229,0.427737
1658,1.042695
2039,1.930586
3023,6.314902
4081,15.394619
911,0.175835
1229,0.431023
1658,1.045006
2039,1.929814
3023,6.265304
4081,16.568774
911,0.251172
1229,0.434387
1658,1.041616
2039,1.925863
3023,6.389865
4081,15.434874
911,0.173981
1229,0.431762
1658,1.044034
2039,1.932650
3023,6.240951
4081,15.448484
911,0.173447
1229,0.431729
1658,1.037936
2039,1.931983
3023,6.265990
4081,15.689189
911,0.176660
1229,0.432096
1658,1.042673
2039,1.936541
3023,6.253723
4081,15.610128
