tamaño,tiempo
911,0.288765
1229,0.581975
1658,1.278106
2039,2.299758
3023,8.297918
4081,18.860281
5510,47.584895
911,0.270171
1229,0.545046
1658,1.370159
2039,2.279394
3023,8.043193
4081,19.153056
5510,49.083595
911,0.265647
1229,0.523144
1658,1.295059
2039,2.394255
3023,7.511492
4081,17.642009
5510,43.073989
911,0.267891
1229,0.538041
1658,1.247584
2039,2.504528
3023,7.940919
4081,18.062038
5510,42.725112
911,0.235763
1229,0.495206
1658,1.366901
2039,2.421521
3023,8.118475
4081,19.620034
5510,42.567585
911,0.263511
1229,0.565082
1658,1.397479
2039,2.273181
3023,8.016243
4081,18.567943
5510,46.867993
911,0.262832
1229,0.603978
1658,1.384072
2039,2.315586
3023,7.126550
4081,18.774570
5510,48.368645
911,0.264023
1229,0.625918
1658,1.266429
2039,2.491727
3023,7.754577
4081,18.910068
5510,45.817081
911,0.244571
1229,0.568096
1658,1.455853
2039,2.502084
3023,8.028903
4081,18.734974
5510,48.954214
911,0.944464
1229,0.618231
1658,1.358850
2039,2.479340
3023,7.520066
4081,17.643476
5510,46.254920
