tamaño,tiempo
911,0.527612
1229,1.270771
1658,3.605646
2039,6.664340
3023,22.194055
4081,55.731494
5510,138.770271
911,0.538532
1229,1.440410
1658,3.731629
2039,6.718910
3023,22.547511
4081,57.615770
5510,134.847723
911,0.567023
1229,2.164228
1658,4.136936
2039,7.208297
3023,21.732646
4081,54.450874
5510,134.043462
911,0.528436
1229,1.372584
1658,3.494042
2039,8.536086
3023,21.876605
4081,54.158620
5510,130.424895
911,0.532242
1229,1.279345
1658,3.498088
2039,6.669541
3023,22.869913
4081,54.691765
5510,133.000809
911,0.518970
1229,1.284069
1658,4.091292
2039,6.548975
3023,21.927825
4081,53.682330
5510,138.324527
911,0.517740
1229,1.374337
1658,3.623587
2039,6.814660
3023,21.664431
4081,54.771879
5510,136.843225
911,0.616619
1229,1.319801
1658,3.633285
2039,6.832723
3023,21.939134
4081,54.655875
5510,131.498354
911,0.511769
1229,1.270575
1658,4.743200
2039,6.657964
3023,21.446632
4081,54.097513
5510,133.784315
911,0.516162
1229,1.285399
1658,3.566889
2039,6.555815
3023,22.439082
4081,54.206332
5510,139.666958
