tamañoMatriz,procesos,real_time
500,8,0.079780055
675,8,0.211307224
911,8,0.503784552
1229,8,1.283247054
1658,8,3.065794428
2239,8,7.770056028
3023,8,16.150880236
4081,8,40.536281570
5510,8,102.847156409
500,8,0.081495880
675,8,0.203844599
911,8,0.510122253
1229,8,1.293585041
1658,8,3.089767359
2239,8,7.712807539
3023,8,16.488175341
4081,8,40.209339016
5510,8,103.002796787
500,8,0.080733009
675,8,0.203796844
911,8,0.494730254
1229,8,1.318186880
1658,8,3.182204024
2239,8,7.844590074
3023,8,16.511259018
4081,8,40.249468809
5510,8,102.409498197
500,8,0.076304532
675,8,0.201080684
911,8,0.503394232
1229,8,1.293328192
1658,8,3.107378519
2239,8,7.797728541
3023,8,16.725061546
4081,8,40.421175113
5510,8,101.117799040
500,8,0.084198613
675,8,0.207914611
911,8,0.497087151
1229,8,1.274086029
1658,8,3.094295199
2239,8,7.662561493
3023,8,16.510138198
4081,8,39.812233783
5510,8,101.787203634
500,8,0.082813188
675,8,0.209557433
911,8,0.498701601
1229,8,1.274581685
1658,8,3.117089285
2239,8,7.816481869
3023,8,16.299310921
4081,8,39.636244362
5510,8,102.627034304
500,8,0.083233739
675,8,0.210442252
911,8,0.507488589
1229,8,1.294400736
1658,8,2.623306762
2239,8,7.790100409
3023,8,16.387176311
4081,8,39.995848114
5510,8,103.561611023
500,8,0.078670894
675,8,0.210961612
911,8,0.503012085
1229,8,1.294574871
1658,8,3.129059335
2239,8,7.736400581
3023,8,16.232677500
4081,8,40.245809362
5510,8,102.121271765
500,8,0.077410781
675,8,0.204320078
911,8,0.484874065
1229,8,1.265218813
1658,8,3.100628846
2239,8,7.841374657
3023,8,16.472348702
4081,8,40.213315164
5510,8,102.705475818
500,8,0.078595863
675,8,0.205971941
911,8,0.499930640
1229,8,1.265752072
1658,8,3.095371623
2239,8,7.766399634
3023,8,16.376178266
4081,8,39.623632457
5510,8,102.484296307
