matrix_size,threads,real_time_sec,user_time_sec,system_time_sec,total_cpu_time_sec,memory_used_mb,performance_gops,elements_per_second_million
675,8.0,0.0081940886,0.056965600000000005,0.0003864,0.057352,13.0,75.9769802,56.3209639
911,8.0,0.0221028369,0.1659594,0.0008307999999999999,0.1667902,13.0,68.9324342,37.8541647
1229,8.0,0.0881614223,0.6515533,0.001547,0.6531003,19.0,43.293691100000004,17.6205501
1658,8.0,0.2207480489,1.6334722,0.0046831,1.6381553,33.0,42.504329,12.8218186
2239,8.0,0.48149147350000004,3.5605187000000003,0.0096496,3.5701683,59.0,46.7687471,10.4464478
3023,8.0,1.8554994932,13.4778008,0.0583533,13.5361541,106.0,29.8392757,4.936191200000001
4081,8.0,4.9630086288,35.2612393,0.16738460000000002,35.428623900000005,192.0,27.6748202,3.3911065999999996
