matrix_size,real_time_sec,user_time_sec,system_time_sec,total_cpu_time_sec,memory_used_mb,performance_gops,elements_per_second_million
675,0.028990545300000004,0.028891499999999997,9.89e-05,0.0289904,9.0,21.8177132,16.1732491
911,0.06492803979999999,0.0647662,0.0001523,0.0649185,11.0,23.3446413,12.8196821
1229,0.1354687359,0.13544130000000001,1.84e-05,0.13545970000000002,18.0,27.7291059,11.2857573
1658,0.3361840124,0.3361164,4.1e-05,0.3361574,32.6,27.219130999999997,8.210899399999999
2239,1.4968712142,1.4939487,0.001226,1.4951747000000002,58.6,15.3435515,3.4271947
3023,4.0565778359,4.0543944,0.0018336000000000001,4.056228,106.0,13.6192135,2.2529718
4081,10.826475527300001,10.8183808,0.0071952000000000006,10.825576,192.0,12.554500299999999,1.5383532
