matrix_size,threads,real_time_sec,user_time_sec,system_time_sec,total_cpu_time_sec,memory_used_mb,performance_gops,elements_per_second_million
675,2.0,0.0144782988,0.0282099,0.00010779999999999999,0.0283177,9.0,42.8770599,31.784329099999997
911,2.0,0.0360412638,0.0709173,0.0002544,0.07117169999999999,11.0,42.0041897,23.0665512
1229,2.0,0.0743367548,0.1477542,0.00011460000000000001,0.1478688,18.9,49.946875899999995,20.3283988
1658,2.0,0.1851561073,0.3695756,0.0001305,0.36970610000000004,33.0,49.3048845,14.8732685
2239,2.0,1.1467972302,2.27962,0.0037073,2.2833273,58.9,19.7248664,4.4058224
3023,2.0,2.8058995445,5.607450699999999,0.0032072999999999997,5.610658,106.0,19.690246100000003,3.2572780999999997
4081,2.0,6.9321830986999995,13.848700400000002,0.0138857,13.862586099999998,192.0,19.6072281,2.4025521
