,400000,600000,900000,1350000,2025000,3037500,4556250,6834375,10251562,15377343,23066015,34599022,51898533,77847800,116771700
iter1,0.016668,0.029303,0.042845,0.063002,0.093388,0.1266,0.19633,0.27547,0.423368,0.649187,0.952196,1.383325,2.078985,3.127378,4.725193
iter2,0.016436,0.027325,0.044105,0.064278,0.092292,0.124521,0.187855,0.285258,0.410404,0.618288,0.956634,1.409389,2.124205,3.124734,4.873602
iter3,0.018972,0.029177,0.050641,0.065886,0.100076,0.137548,0.200621,0.314518,0.441255,0.650799,1.002908,1.527128,2.247597,3.364556,4.928936
iter4,0.014712,0.030021,0.044207,0.06152,0.083686,0.129501,0.188582,0.27028,0.398135,0.588938,0.878775,1.32611,1.992325,2.964085,4.422936
iter5,0.015744,0.026896,0.040906,0.059623,0.087147,0.12127,0.17335,0.261447,0.390613,0.587012,0.865832,1.299637,1.970411,2.941559,4.395044
iter6,0.016095,0.024557,0.045943,0.05735,0.084322,0.128295,0.183037,0.256424,0.388682,0.582719,0.87001,1.278029,1.941554,2.907616,4.399879
iter7,0.014685,0.024528,0.036043,0.054169,0.080453,0.120783,0.171761,0.256822,0.384678,0.574436,0.859853,1.297686,1.958486,2.911174,4.365207
iter8,0.015384,0.023651,0.035422,0.05219,0.077654,0.116485,0.169352,0.259413,0.377336,0.574044,0.86762,1.281069,1.922787,2.931308,4.368995
iter9,0.015153,0.022183,0.040527,0.055622,0.080967,0.112669,0.171133,0.259657,0.384168,0.57719,0.84791,1.29041,1.93568,2.85873,4.401956
iter10,0.014687,0.023749,0.037754,0.051784,0.079234,0.11569,0.170703,0.254618,0.385455,0.566756,0.857832,1.273018,1.925648,2.881333,4.352831
