corrida,500,675,911,1229,1658,2239,3023,4081,5510
1,0.272472,0.759397,1.805116,5.991072,17.867811,51.316383,139.08422,346.774971,818.079879
2,0.287464,0.773776,3.585563,6.049698,17.230832,51.441763,139.501573,317.814304,823.781425
3,0.284927,0.695372,3.6322,6.039147,17.357616,53.531769,130.128326,347.690524,818.236764
4,0.286028,0.728001,3.538014,6.265235,17.814205,53.408993,143.01004,349.597851,827.921582
5,0.29792,0.708913,1.973697,6.100792,17.146262,53.340489,142.08419,351.514959,833.856417
6,0.271487,0.73701,1.816598,6.038142,16.926536,44.096158,125.453368,320.471239,865.449301
7,0.269622,0.686036,3.567939,5.833265,16.375767,54.586983,139.910555,318.690337,816.547249
8,0.283488,0.712957,3.627949,5.934916,15.37347,53.00977,143.860404,293.835757,826.046059
9,0.274113,0.745491,1.75479,6.040766,16.912008,44.078407,108.729425,302.308182,826.232433
10,1.243833,1.306162,1.763602,6.045175,17.195059,53.451587,138.992093,257.86024,864.761422
