N,trial,processes,mpi_time,user_cpu,sys_cpu,memory_kb,comm_time
5000,1,4,0.091703,0.040471,0.051243,15716,0.090757
10000,1,4,0.079062,0.029405,0.049581,15684,0.075217
20000,1,4,0.075889,0.033732,0.042095,15624,0.071707
40000,1,4,0.089953,0.045775,0.042187,15544,0.071741
60000,1,4,0.094915,0.040970,0.053968,15720,0.078996
80000,1,4,0.090361,0.056731,0.033562,15852,0.053859
5000,2,4,0.070676,0.026380,0.044266,15836,0.068914
10000,2,4,0.077418,0.028975,0.048387,15700,0.073251
20000,2,4,0.087398,0.039009,0.048298,15860,0.082856
40000,2,4,0.093800,0.047934,0.045755,15640,0.083435
60000,2,4,0.098348,0.054041,0.044240,15728,0.072607
80000,2,4,0.110015,0.072637,0.035452,15868,0.072895
5000,3,4,0.084599,0.048719,0.035876,15688,0.083507
10000,3,4,0.085044,0.039917,0.045235,15820,0.083138
20000,3,4,0.089061,0.021360,0.067678,15604,0.080814
40000,3,4,0.412507,0.214456,0.197931,15624,0.394649
60000,3,4,0.541619,0.216411,0.324893,15716,0.515349
80000,3,4,0.238315,0.119969,0.118245,15732,0.217135
5000,4,4,0.079294,0.032883,0.046384,15564,0.077423
10000,4,4,0.096428,0.043251,0.053125,15652,0.092511
20000,4,4,0.096431,0.049168,0.047243,15704,0.088140
40000,4,4,0.100645,0.044155,0.056442,15696,0.082620
60000,4,4,0.097757,0.051723,0.045891,15860,0.071176
80000,4,4,0.101787,0.067924,0.033838,15780,0.066269
5000,5,4,0.074507,0.044342,0.030144,15972,0.072647
10000,5,4,0.072328,0.033923,0.038356,15848,0.070328
20000,5,4,0.084785,0.047781,0.037032,15684,0.076220
40000,5,4,0.089314,0.038141,0.051090,15520,0.071639
60000,5,4,0.097187,0.047563,0.049592,15784,0.081516
80000,5,4,0.108080,0.056337,0.051728,16048,0.086498
5000,6,4,0.104741,0.045407,0.059339,15764,0.103509
10000,6,4,0.085178,0.039264,0.045887,15644,0.083274
20000,6,4,0.080848,0.051906,0.028893,15684,0.072181
40000,6,4,0.094265,0.063382,0.030853,15912,0.076317
60000,6,4,0.090507,0.044143,0.046200,15840,0.064649
80000,6,4,0.095976,0.048932,0.047023,15784,0.059600
5000,7,4,0.078288,0.032352,0.045942,15708,0.076515
10000,7,4,0.076451,0.043277,0.033170,15656,0.074572
20000,7,4,0.077475,0.040485,0.036926,15732,0.073128
40000,7,4,0.086264,0.059310,0.026830,15840,0.068695
60000,7,4,0.097832,0.055054,0.042493,15904,0.080371
80000,7,4,0.096808,0.052599,0.044178,15916,0.075804
5000,8,4,0.074205,0.039248,0.034875,15944,0.072378
10000,8,4,0.073927,0.032866,0.041083,15860,0.071997
20000,8,4,0.087661,0.034264,0.053427,15540,0.079408
40000,8,4,0.083343,0.039132,0.044150,15772,0.073008
60000,8,4,0.109159,0.067086,0.041934,15892,0.082747
80000,8,4,0.098697,0.059663,0.039034,15996,0.077709
5000,9,4,0.077362,0.037085,0.040193,15964,0.075479
10000,9,4,0.088674,0.045767,0.042860,15656,0.086564
20000,9,4,0.083975,0.043492,0.040418,15592,0.079585
40000,9,4,0.086774,0.047345,0.039256,15400,0.076563
60000,9,4,0.090019,0.048647,0.041346,15776,0.074022
80000,9,4,0.131101,0.076907,0.054089,15960,0.095753
5000,10,4,0.071565,0.034023,0.037491,15716,0.069819
10000,10,4,0.080086,0.034429,0.045576,15604,0.078237
20000,10,4,0.078518,0.043533,0.034887,15856,0.070012
40000,10,4,0.096530,0.055181,0.041309,15636,0.084953
60000,10,4,0.109916,0.062832,0.047052,15852,0.083753
80000,10,4,0.094336,0.066514,0.027718,15656,0.057496
