N,trial,processes,mpi_time,user_cpu,sys_cpu,memory_kb,comm_time
20000,1,2,0.072713,0.036900,0.035773,15576,0.063012
40000,1,2,0.099855,0.047206,0.052671,15452,0.079060
80000,1,2,0.122673,0.089501,0.033157,15940,0.073905
100000,1,2,0.220033,0.156570,0.063368,15864,0.143649
120000,1,2,0.443973,0.256092,0.187704,15816,0.321687
140000,1,2,0.203007,0.140243,0.062807,16024,0.115772
20000,2,2,0.100238,0.050128,0.050092,15396,0.090459
40000,2,2,0.100161,0.066018,0.034191,15672,0.078615
80000,2,2,0.120238,0.083409,0.036841,15744,0.071169
100000,2,2,0.154919,0.119244,0.035769,15896,0.093058
120000,2,2,0.160867,0.125775,0.035106,16112,0.085291
140000,2,2,0.162366,0.128394,0.033908,16216,0.074099
20000,3,2,0.077677,0.040557,0.037204,15420,0.067391
40000,3,2,0.103658,0.057712,0.045939,15680,0.082490
80000,3,2,0.135195,0.076583,0.058624,16004,0.086546
100000,3,2,0.134196,0.101208,0.032924,16040,0.073200
120000,3,2,0.156618,0.127607,0.029036,16000,0.081673
140000,3,2,0.177131,0.132921,0.044209,16292,0.090110
20000,4,2,0.074418,0.036116,0.038293,15684,0.064784
40000,4,2,0.120619,0.063527,0.057031,15648,0.097963
80000,4,2,0.147117,0.089336,0.057755,15812,0.098700
100000,4,2,0.140164,0.101596,0.038666,15788,0.078345
120000,4,2,0.165578,0.119125,0.046443,16088,0.092841
140000,4,2,0.156213,0.116049,0.040057,16012,0.070364
20000,5,2,0.089162,0.040707,0.048488,15540,0.078839
40000,5,2,0.086336,0.048748,0.037629,15800,0.065760
80000,5,2,0.121251,0.084879,0.036340,15884,0.073005
100000,5,2,0.220592,0.145541,0.075083,15960,0.158439
120000,5,2,0.218053,0.136791,0.081298,16040,0.143045
140000,5,2,0.164898,0.119790,0.045124,15856,0.076789
20000,6,2,0.126959,0.058784,0.068197,15776,0.107171
40000,6,2,0.099566,0.059494,0.040182,15744,0.078841
80000,6,2,0.125303,0.085066,0.040246,15900,0.076886
100000,6,2,0.150835,0.111013,0.039824,15960,0.089765
120000,6,2,0.148142,0.103300,0.044757,16000,0.073525
140000,6,2,0.155774,0.104252,0.051503,16272,0.070414
20000,7,2,0.125923,0.063291,0.062619,15740,0.115701
40000,7,2,0.087813,0.054071,0.033767,15676,0.066635
80000,7,2,0.122593,0.089968,0.032668,16060,0.073100
100000,7,2,0.206493,0.130545,0.075976,16076,0.109388
120000,7,2,0.142961,0.111209,0.031744,15968,0.068154
140000,7,2,0.199245,0.139260,0.060012,16200,0.105988
20000,8,2,0.106236,0.054253,0.051986,15600,0.095627
40000,8,2,0.096994,0.060284,0.036772,15596,0.075764
80000,8,2,0.120924,0.072150,0.048778,15808,0.072698
100000,8,2,0.154575,0.095035,0.059517,15960,0.093028
120000,8,2,0.152425,0.111006,0.041428,15860,0.076620
140000,8,2,0.165970,0.125106,0.040896,16040,0.076618
20000,9,2,0.081265,0.040714,0.040574,15628,0.071016
40000,9,2,0.095364,0.060294,0.035092,15604,0.074330
80000,9,2,0.123016,0.084900,0.038155,15904,0.074169
100000,9,2,0.147781,0.092211,0.055577,16048,0.085999
120000,9,2,0.171261,0.131435,0.039778,16116,0.096879
140000,9,2,0.153832,0.114266,0.039512,16108,0.067262
20000,10,2,0.077203,0.045436,0.031809,15440,0.067551
40000,10,2,0.092005,0.049127,0.042900,15812,0.070951
80000,10,2,0.121540,0.087892,0.033647,15928,0.072225
100000,10,2,0.133209,0.096342,0.036836,15944,0.072392
120000,10,2,0.144844,0.111413,0.033459,16008,0.069955
140000,10,2,0.159569,0.122472,0.037112,16204,0.072570
