size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm,pi_est
1350000,2,0.005368007,0.009604000,0.000493000,0.010097000,1350000,0.251490,251.489985,1,openmp_dartboard,3.141484444
2025000,2,0.008170448,0.015567000,0.000429000,0.015996000,2025000,0.247844,247.844427,1,openmp_dartboard,3.141552593
3037500,2,0.014746286,0.028780000,0.000362000,0.029142000,3037500,0.205984,205.984069,1,openmp_dartboard,3.141578272
4556250,2,0.025273667,0.047015000,0.000000000,0.047015000,4556250,0.180277,180.276570,1,openmp_dartboard,3.141558080
6834375,2,0.032370916,0.063925000,0.000000000,0.063925000,6834375,0.211127,211.127019,1,openmp_dartboard,3.141582954
10251562,2,0.044707340,0.088872000,0.000000000,0.088872000,10251562,0.229304,229.303779,1,openmp_dartboard,3.141575889
15377343,2,0.064863431,0.128982000,0.000525000,0.129507000,15377343,0.237073,237.072612,1,openmp_dartboard,3.141591626
23066015,2,0.096345035,0.191736000,0.000490000,0.192226000,23066015,0.239411,239.410521,1,openmp_dartboard,3.141596674
34599022,2,0.144829167,0.288581000,0.000996000,0.289577000,34599022,0.238895,238.895402,1,openmp_dartboard,3.141594465
51898533,2,0.215468062,0.429807000,0.000435000,0.430242000,51898533,0.240864,240.864156,1,openmp_dartboard,3.141590842
77847800,2,0.317614327,0.634619000,0.000452000,0.635071000,77847800,0.245102,245.101664,1,openmp_dartboard,3.141589460
116771700,2,0.473122987,0.945419000,0.000000000,0.945419000,116771700,0.246810,246.810456,1,openmp_dartboard,3.141587285
175157550,2,0.710270328,1.419518000,0.000000000,1.419518000,175157550,0.246607,246.606881,1,openmp_dartboard,3.141588907
262736325,2,1.080649175,2.135731000,0.000000000,2.135731000,262736325,0.243128,243.128234,1,openmp_dartboard,3.141587004
394104487,2,1.583824621,3.166239000,0.000490000,3.166729000,394104487,0.248831,248.830888,1,openmp_dartboard,3.141587373
591156730,2,2.369764471,4.738947000,0.000000000,4.738947000,591156730,0.249458,249.458010,1,openmp_dartboard,3.141588073
886735095,2,3.562142970,7.119598000,0.000500000,7.120098000,886735095,0.248933,248.933045,1,openmp_dartboard,3.141587723
1330102642,2,5.333972018,10.666675000,0.000000000,10.666675000,1330102642,0.249364,249.364383,1,openmp_dartboard,3.141587631
400000,2,0.001646467,0.002725000,0.000000000,0.002725000,400000,0.242944,242.944438,1,openmp_dartboard,3.141550000
600000,2,0.002353936,0.003567000,0.000800000,0.004367000,600000,0.254892,254.892232,1,openmp_dartboard,3.141420000
900000,2,0.004753279,0.008989000,0.000000000,0.008989000,900000,0.189343,189.342978,1,openmp_dartboard,3.141431111
1350000,2,0.007614109,0.012152000,0.000415000,0.012567000,1350000,0.177302,177.302426,1,openmp_dartboard,3.141505185
2025000,2,0.010104162,0.019066000,0.000976000,0.020042000,2025000,0.200412,200.412464,1,openmp_dartboard,3.141552593
3037500,2,0.014748657,0.028779000,0.000262000,0.029041000,3037500,0.205951,205.950955,1,openmp_dartboard,3.141578272
4556250,2,0.023969808,0.047054000,0.000000000,0.047054000,4556250,0.190083,190.082874,1,openmp_dartboard,3.141551934
6834375,2,0.030758105,0.059723000,0.001005000,0.060728000,6834375,0.222198,222.197531,1,openmp_dartboard,3.141584710
10251562,2,0.046131206,0.091259000,0.000000000,0.091259000,10251562,0.222226,222.226187,1,openmp_dartboard,3.141573938
15377343,2,0.066104919,0.131207000,0.000000000,0.131207000,15377343,0.232620,232.620253,1,openmp_dartboard,3.141591366
23066015,2,0.100825495,0.201028000,0.000000000,0.201028000,23066015,0.228772,228.771651,1,openmp_dartboard,3.141595113
34599022,2,0.158220034,0.312041000,0.000469000,0.312510000,34599022,0.218677,218.676618,1,openmp_dartboard,3.141594580
51898533,2,0.213637915,0.426990000,0.000000000,0.426990000,51898533,0.242928,242.927539,1,openmp_dartboard,3.141590149
77847800,2,0.317838528,0.634683000,0.000000000,0.634683000,77847800,0.244929,244.928771,1,openmp_dartboard,3.141589152
116771700,2,0.476501659,0.952492000,0.000000000,0.952492000,116771700,0.245060,245.060427,1,openmp_dartboard,3.141587217
175157550,2,0.710729770,1.419929000,0.000488000,1.420417000,175157550,0.246447,246.447465,1,openmp_dartboard,3.141588998
262736325,2,1.077906562,2.146509000,0.000420000,2.146929000,262736325,0.243747,243.746846,1,openmp_dartboard,3.141587049
394104487,2,1.601554122,3.202815000,0.000000000,3.202815000,394104487,0.246076,246.076284,1,openmp_dartboard,3.141587363
591156730,2,2.395383297,4.784938000,0.000000000,4.784938000,591156730,0.246790,246.790036,1,openmp_dartboard,3.141588046
886735095,2,3.598711281,7.185255000,0.000417000,7.185672000,886735095,0.246404,246.403511,1,openmp_dartboard,3.141587746
1330102642,2,5.377690579,10.754611000,0.000000000,10.754611000,1330102642,0.247337,247.337146,1,openmp_dartboard,3.141587613
400000,2,0.001977378,0.003278000,0.000230000,0.003508000,400000,0.202288,202.288080,1,openmp_dartboard,3.141550000
600000,2,0.003039576,0.004934000,0.000000000,0.004934000,600000,0.197396,197.395953,1,openmp_dartboard,3.141386667
900000,2,0.008359699,0.011773000,0.000000000,0.011773000,900000,0.107659,107.659379,1,openmp_dartboard,3.141431111
1350000,2,0.005419261,0.010508000,0.000000000,0.010508000,1350000,0.249111,249.111456,1,openmp_dartboard,3.141490370
2025000,2,0.009135097,0.017416000,0.000000000,0.017416000,2025000,0.221673,221.672523,1,openmp_dartboard,3.141570370
3037500,2,0.016134218,0.031215000,0.000000000,0.031215000,3037500,0.188264,188.264470,1,openmp_dartboard,3.141584856
