matrix_size,threads,real_time_sec,user_time_sec,system_time_sec,total_cpu_time_sec,memory_used_mb,performance_gops,elements_per_second_million
400000,8.0,0.0011257317999999999,0.0051441,0.00010920000000000001,0.0052533,1.0,0.3570826,357.082771
600000,8.0,0.0013855388,0.006833799999999999,0.0002356,0.007069400000000001,1.0,0.43656079999999997,436.56085240000004
900000,8.0,0.0073659297,0.0365149,0.00021970000000000003,0.0367346,1.0,0.20364569999999999,203.6455967
1350000,8.0,0.0045153076,0.0244253,0.0004917000000000001,0.024917,1.0,0.39199649999999997,391.9964681
2025000,8.0,0.0051009982,0.0325695,0.0004287,0.0329982,1.0,0.44993530000000004,449.9354173
3037500,8.0,0.0091323116,0.0576676,0.0003806,0.058048199999999994,1.0,0.38408359999999997,384.0837051
4556250,8.0,0.0124992542,0.0837296,0.00040169999999999995,0.08413129999999999,1.0,0.3888794,388.8796608
6834375,8.0,0.020496251200000003,0.12772920000000001,0.0005449,0.1282741,1.0,0.3450275,345.0274778
10251562,8.0,0.025969864,0.1692042,0.0001167,0.1693209,1.0,0.40009649999999997,400.0965246
15377343,8.0,0.0376759528,0.2481268,0.00034989999999999994,0.24847670000000002,1.0,0.41201030000000005,412.01040709999995
23066015,8.0,0.0484564765,0.3388092,0.0007018,0.339511,1.0,0.47818819999999995,478.18821330000003
34599022,8.0,0.06830249660000001,0.4826117,0.0002736,0.4828853000000001,1.0,0.5072853,507.285184
51898533,8.0,0.09912328969999999,0.6841687999999999,0.00035140000000000003,0.6845202,1.0,0.5239912,523.9911279
77847800,8.0,0.14008540819999998,0.9743391000000001,0.0003798,0.9747189,1.0,0.5560801,556.0801535
116771700,8.0,0.20517212480000002,1.4332466,0.0005961,1.4338427,1.0,0.5693443,569.3441583
175157550,8.0,0.3064749274,2.1151305000000002,0.0007814,2.1159119,1.0,0.572326,572.3260364
262736325,8.0,0.4544331946,3.1397638,0.0003068,3.1400706,1.0,0.5781972,578.1971121
394104487,8.0,0.6765755393,4.6682496,0.00019559999999999998,4.6684452,1.0,0.5825205999999999,582.5206284
591156730,8.0,1.0112740699,6.967517599999999,0.0003516,6.9678692,1.0,0.5846184,584.6181931
886735095,8.0,1.5103397959,10.3891818,0.0007352,10.389917,1.0,0.5871572,587.1571229
1330102642,8.0,2.2646489686,15.5585062,0.0001959,15.5587021,1.0,0.5873579,587.3580563
