matrix_size,threads,real_time_sec,user_time_sec,system_time_sec,total_cpu_time_sec,memory_used_mb,performance_gops,elements_per_second_million
400000,2.0,0.0030073507,0.0054754,0.00022889999999999998,0.0057043,2.0,0.1331915,133.191516
600000,2.0,0.0069678213000000004,0.0115707,0.0002167,0.0117874,2.0,0.09458180000000001,94.5818407
900000,2.0,0.0069508535,0.012551099999999999,0.00035789999999999997,0.012909,2.0,0.1325467,132.546748
1350000,2.0,0.012933758200000001,0.0231461,0.0002601,0.0234062,2.0,0.1070866,107.0866878
2025000,2.0,0.020001075099999998,0.0371653,0.00037620000000000004,0.0375415,2.0,0.1021366,102.1365815
3037500,2.0,0.0288743164,0.055905899999999994,0.00010379999999999999,0.056009699999999996,2.0,0.10646229999999998,106.46214259999999
4556250,2.0,0.0376107141,0.07425269999999999,0.0003079,0.0745606,2.0,0.12135130000000001,121.3512734
6834375,2.0,0.0541066001,0.10748470000000002,0.0002386,0.10772330000000001,2.0,0.1263994,126.3994638
10251562,2.0,0.0781289144,0.15532189999999998,0.0003396,0.15566149999999998,2.0,0.1312418,131.2417911
15377343,2.0,0.11516931150000001,0.2295145,0.00025309999999999997,0.22976760000000002,2.0,0.1335375,133.53768250000002
23066015,2.0,0.16891521169999998,0.3367735,0.00048669999999999996,0.3372602,2.0,0.13657550000000002,136.57560089999998
34599022,2.0,0.2508119324,0.5001782,0.00026619999999999997,0.5004444,2.0,0.1379754,137.975436
51898533,2.0,0.3750593781,0.7466174,0.00022490000000000002,0.7468423,2.0,0.13839859999999998,138.39837029999998
77847800,2.0,0.5579908519,1.1101817,0.00025469999999999996,1.1104364,2.0,0.139542,139.54201640000002
116771700,2.0,0.8296791368,1.6504712000000001,0.00027529999999999997,1.6507465,2.0,0.1407605,140.7604078
175157550,2.0,1.2434640392,2.4702738,0.00041400000000000003,2.4706878,2.0,0.1408853,140.8852094
262736325,2.0,1.8534206313,3.6848975000000004,0.000107,3.6850045000000002,2.0,0.14177299999999998,141.7729976
394104487,2.0,2.7763309840000003,5.5087326,0.00042009999999999997,5.5091527,2.0,0.14195580000000002,141.9558026
591156730,2.0,4.1674643787,8.2703834,0.0003086,8.270692,2.0,0.141862,141.8619502
886735095,2.0,6.245682439,12.3932931,0.0003761,12.3936692,2.0,0.1419843,141.9842392
1330102642,2.0,9.3468327755,18.5408906,0.0005866000000000001,18.5414772,2.0,0.1423097,142.3096906
