matrix_size,threads,real_time_sec,user_time_sec,system_time_sec,total_cpu_time_sec,memory_used_mb,performance_gops,elements_per_second_million
400000,8.0,0.0014882273999999999,0.0075444,0.0004151,0.0079595,2.0,0.2710147,271.01470989999996
600000,8.0,0.0019609132,0.010298100000000001,0.00037989999999999996,0.010678,2.0,0.3071983,307.19828029999996
900000,8.0,0.011039874,0.0553183,0.0002746,0.0555929,2.0,0.1015876,101.5876246
1350000,8.0,0.0062468259,0.0386635,0.00037930000000000006,0.0390428,2.0,0.246782,246.7820756
2025000,8.0,0.0066864719,0.0475911,0.0005896,0.0481807,2.0,0.3088609,308.8609748
3037500,8.0,0.0198092618,0.11780729999999999,0.0008468,0.11865410000000001,2.0,0.16097509999999998,160.97503550000002
4556250,8.0,0.0187882572,0.127861,0.0007859,0.1286469,2.0,0.2529233,252.9232461
6834375,8.0,0.0324413914,0.21146790000000001,0.0006257999999999999,0.2120937,2.0,0.2119301,211.92999799999998
10251562,8.0,0.041795657800000004,0.2876742,0.0009159999999999999,0.28859019999999996,2.0,0.2501797,250.17973
15377343,8.0,0.05907883630000001,0.4168056,0.0009230999999999999,0.41772869999999995,2.0,0.2618307,261.8307569
23066015,8.0,0.0828038946,0.5877646000000001,0.0026702,0.5904348,2.0,0.2798916,279.8914599
34599022,8.0,0.1182883036,0.8419893,0.0016541,0.8436434,2.0,0.2936492,293.6494518
51898533,8.0,0.1723790576,1.2237464,0.0029711,1.2267175,2.0,0.3020187,302.0188187
77847800,8.0,0.251433265,1.7890421,0.0031266,1.7921687,1.9,0.3099736,309.97356479999996
116771700,8.0,0.36457525739999996,2.6108291,0.0027371,2.6135662,2.0,0.3206016,320.6014902
175157550,8.0,0.5400841435,3.8692856,0.0054227,3.8747083000000004,2.0,0.3246581,324.6580449
262736325,8.0,0.8112313982,5.814340700000001,0.006128099999999999,5.8204688,2.0,0.3241968,324.19677409999997
394104487,8.0,1.2004729368,8.5469486,0.0075018,8.5544504,2.0,0.3285085,328.5087215
591156730,8.0,1.8275673261,13.101376400000001,0.0096529,13.111029299999998,2.0,0.32393,323.9302993
886735095,8.0,2.6690593895,19.1391022,0.0152697,19.1543719,2.0,0.3323446,332.3447182
1330102642,8.0,4.0246706886,28.912524400000002,0.0084035,28.9209279,2.0,0.3306772,330.6772472
