matrix_size,threads,real_time_sec,user_time_sec,system_time_sec,total_cpu_time_sec,memory_used_mb,performance_gops,elements_per_second_million
400000,4.0,0.0011522074,0.0026303,0.0003578,0.0029881,1.0,0.3480464,348.0463487
600000,4.0,0.0015728849,0.0050213,0.00016800000000000002,0.0051893,1.0,0.3826469,382.6469129
900000,4.0,0.006252477500000001,0.0149754,0.00024629999999999997,0.0152217,1.0,0.1631011,163.1010594
1350000,4.0,0.0045848679,0.014660800000000002,0.00022160000000000002,0.0148824,1.0,0.336756,336.7560561
2025000,4.0,0.0052233185,0.017807899999999998,0.0002969,0.018104799999999997,1.0,0.4092396,409.2396474
3037500,4.0,0.0095959102,0.0330074,0.0002794,0.0332868,1.0,0.32761490000000004,327.6147739
4556250,4.0,0.0146720346,0.052151800000000005,0.0002947,0.05244649999999999,1.0,0.3181945,318.19459470000004
6834375,4.0,0.0213676335,0.0800834,0.0003582,0.0804416,1.0,0.3226736,322.6735345
10251562,4.0,0.0276964991,0.10796449999999999,0.0004971,0.1084616,1.0,0.37197240000000004,371.97233040000003
15377343,4.0,0.0405657709,0.15916550000000002,0.0002283,0.1593938,1.0,0.3794861,379.4861666
23066015,4.0,0.057707336600000006,0.22877969999999997,0.00046100000000000004,0.2292407,1.0,0.3998121,399.812028
34599022,4.0,0.08440908309999999,0.33574329999999997,0.00045529999999999995,0.3361986,1.0,0.4099581,409.958168
51898533,4.0,0.1244455093,0.49561710000000003,0.0002849,0.49590199999999995,1.0,0.417052,417.0520004
77847800,4.0,0.1853866766,0.7395046,0.00046639999999999995,0.7399709999999999,1.0,0.4201644,420.164465
116771700,4.0,0.2732161602,1.0909872,0.0003523,1.0913395,1.0,0.4274158,427.4157341
175157550,4.0,0.4097533276,1.6371434,0.0002604,1.6374038,1.0,0.42753579999999997,427.5357619
262736325,4.0,0.6092911604,2.4346898,0.0003302,2.43502,1.0,0.4312222,431.2222517
394104487,4.0,0.9128383790000001,3.6489142,0.00031150000000000004,3.6492257,1.0,0.431747,431.7470933000001
591156730,4.0,1.3675338318999999,5.4602185,0.00038050000000000003,5.460599,1.0,0.43228609999999995,432.2859859
886735095,4.0,2.0466087192,8.1748922,0.0002635,8.175155700000001,1.0,0.433277,433.27683790000003
1330102642,4.0,3.064786787,12.242298600000002,0.0006314000000000001,12.24293,1.0,0.4339982,433.9983724
