matrix_size,threads,real_time_sec,user_time_sec,system_time_sec,total_cpu_time_sec,memory_used_mb,performance_gops,elements_per_second_million
400000,12.0,0.0067828003999999996,0.0666199,0.0004071,0.067027,2.0,0.061354900000000004,61.3550015
600000,12.0,0.0145912333,0.0972897,0.0004503,0.09774,2.0,0.0464613,46.4612679
900000,12.0,0.0122040376,0.095327,0.0005349,0.0958619,2.0,0.0777737,77.7735739
1350000,12.0,0.016027877700000002,0.10812329999999999,0.0009544,0.10907770000000001,2.0,0.0917782,91.7781433
2025000,12.0,0.017710884599999997,0.12748779999999998,0.0012006,0.12868839999999998,2.0,0.11910130000000001,119.1014764
3037500,12.0,0.023394141200000003,0.1751212,0.0004824,0.1756036,2.0,0.1329631,132.9630391
4556250,12.0,0.027064269699999997,0.20462790000000003,0.0007524,0.2053803,2.0,0.170739,170.7391391
6834375,12.0,0.0375100901,0.2782905,0.0008913,0.27918180000000004,2.0,0.1847912,184.7912167
10251562,12.0,0.0449831488,0.35343979999999997,0.0012898,0.3547296,2.0,0.22848549999999998,228.4853759
15377343,12.0,0.0609157419,0.489276,0.0007105,0.4899865,2.0,0.2530272,253.02742189999998
23066015,12.0,0.0826638998,0.6976349,0.0005587,0.6981936,2.0,0.279717,279.7170492
34599022,12.0,0.1188216889,1.0025928,0.0014276,1.0040204000000001,2.0,0.2917688,291.7686285
51898533,12.0,0.1727158739,1.4665118,0.0015863000000000001,1.4680981,2.0,0.3015089,301.5090146
77847800,12.0,0.2482322859,2.2088909,0.0010474,2.2099383,2.0,0.31372,313.7200394
116771700,12.0,0.3610000365,3.2641944,0.0013117,3.2655061000000005,2.0,0.323872,323.8718836
175157550,12.0,0.5154724887000001,4.8979658,0.0026968,4.9006625999999995,2.0,0.3403542,340.3542312
262736325,12.0,0.7437987387,7.287644299999999,0.0014058,7.2890501,2.0,0.35349200000000003,353.4918161
394104487,12.0,1.095238226,10.9958994,0.0013517,10.9972511,2.0,0.36010400000000004,360.1039743
591156730,12.0,1.6062433271,16.4844413,0.0034727,16.487914,2.0,0.3681983,368.1982858
886735095,12.0,2.3884527172000003,24.8222011,0.0048868,24.827087900000002,2.0,0.3714927,371.492652
1330102642,12.0,3.5087134034000003,37.2578164,0.0071885000000000004,37.265004899999994,2.0,0.3791655,379.1653526
