modo,algoritmo,tamaño,workers,iteracion,tiempo
OpenMP,Needles,262736325,2,6,1.8291
OpenMP,Needles,394104487,2,6,2.7557
OpenMP,Needles,591156730,2,6,4.1164
OpenMP,Needles,886735095,2,6,6.1900
OpenMP,Needles,1330102642,2,6,9.3302
OpenMP,Needles,400000,2,7,0.0050
OpenMP,Needles,600000,2,7,0.0126
OpenMP,Needles,900000,2,7,0.0080
OpenMP,Needles,1350000,2,7,0.0141
OpenMP,Needles,2025000,2,7,0.0194
OpenMP,Needles,3037500,2,7,0.0345
OpenMP,Needles,4556250,2,7,0.0377
OpenMP,Needles,6834375,2,7,0.0542
OpenMP,Needles,10251562,2,7,0.0798
OpenMP,Needles,15377343,2,7,0.1165
OpenMP,Needles,23066015,2,7,0.1682
OpenMP,Needles,34599022,2,7,0.2477
OpenMP,Needles,51898533,2,7,0.3686
OpenMP,Needles,77847800,2,7,0.5518
OpenMP,Needles,116771700,2,7,0.8177
OpenMP,Needles,175157550,2,7,1.2201
OpenMP,Needles,262736325,2,7,1.8247
OpenMP,Needles,394104487,2,7,2.7834
OpenMP,Needles,591156730,2,7,4.1964
OpenMP,Needles,886735095,2,7,6.2631
OpenMP,Needles,1330102642,2,7,9.3455
OpenMP,Needles,400000,2,8,0.0051
OpenMP,Needles,600000,2,8,0.0132
OpenMP,Needles,900000,2,8,0.0097
OpenMP,Needles,1350000,2,8,0.0127
OpenMP,Needles,2025000,2,8,0.0207
OpenMP,Needles,3037500,2,8,0.0296
OpenMP,Needles,4556250,2,8,0.0393
OpenMP,Needles,6834375,2,8,0.0555
OpenMP,Needles,10251562,2,8,0.0794
OpenMP,Needles,15377343,2,8,0.1146
OpenMP,Needles,23066015,2,8,0.1690
OpenMP,Needles,34599022,2,8,0.2485
OpenMP,Needles,51898533,2,8,0.3707
OpenMP,Needles,77847800,2,8,0.5496
OpenMP,Needles,116771700,2,8,0.8202
OpenMP,Needles,175157550,2,8,1.2389
OpenMP,Needles,262736325,2,8,1.8581
OpenMP,Needles,394104487,2,8,2.8018
OpenMP,Needles,591156730,2,8,4.2046
OpenMP,Needles,886735095,2,8,6.2262
OpenMP,Needles,1330102642,2,8,9.4064
OpenMP,Needles,400000,2,9,0.0051
OpenMP,Needles,600000,2,9,0.0085
OpenMP,Needles,900000,2,9,0.0079
OpenMP,Needles,1350000,2,9,0.0127
OpenMP,Needles,2025000,2,9,0.0201
OpenMP,Needles,3037500,2,9,0.0296
OpenMP,Needles,4556250,2,9,0.0393
OpenMP,Needles,6834375,2,9,0.0573
OpenMP,Needles,10251562,2,9,0.0803
OpenMP,Needles,15377343,2,9,0.1195
OpenMP,Needles,23066015,2,9,0.1719
OpenMP,Needles,34599022,2,9,0.2551
OpenMP,Needles,51898533,2,9,0.3819
OpenMP,Needles,77847800,2,9,0.5592
OpenMP,Needles,116771700,2,9,0.8424
OpenMP,Needles,175157550,2,9,1.2548
OpenMP,Needles,262736325,2,9,1.8561
OpenMP,Needles,394104487,2,9,2.7787
OpenMP,Needles,591156730,2,9,4.1661
OpenMP,Needles,886735095,2,9,6.2828
OpenMP,Needles,1330102642,2,9,9.3720
OpenMP,Needles,400000,2,10,0.0051
OpenMP,Needles,600000,2,10,0.0091
OpenMP,Needles,900000,2,10,0.0090
OpenMP,Needles,1350000,2,10,0.0162
OpenMP,Needles,2025000,2,10,0.0233
OpenMP,Needles,3037500,2,10,0.0275
OpenMP,Needles,4556250,2,10,0.0398
OpenMP,Needles,6834375,2,10,0.0555
OpenMP,Needles,10251562,2,10,0.0797
OpenMP,Needles,15377343,2,10,0.1174
OpenMP,Needles,23066015,2,10,0.1702
OpenMP,Needles,34599022,2,10,0.2553
OpenMP,Needles,51898533,2,10,0.3838
OpenMP,Needles,77847800,2,10,0.5712
OpenMP,Needles,116771700,2,10,0.8247
OpenMP,Needles,175157550,2,10,1.2495
OpenMP,Needles,262736325,2,10,1.8454
OpenMP,Needles,394104487,2,10,2.7535
OpenMP,Needles,591156730,2,10,4.1181
OpenMP,Needles,886735095,2,10,6.2983
OpenMP,Needles,1330102642,2,10,9.2973
OpenMP,Needles,400000,4,1,0.0035
OpenMP,Needles,600000,4,1,0.0048
OpenMP,Needles,900000,4,1,0.0113
OpenMP,Needles,1350000,4,1,0.0152
OpenMP,Needles,2025000,4,1,0.0123
OpenMP,Needles,3037500,4,1,0.0182
OpenMP,Needles,4556250,4,1,0.0272
OpenMP,Needles,6834375,4,1,0.0346
OpenMP,Needles,10251562,4,1,0.0474
OpenMP,Needles,15377343,4,1,0.0681
OpenMP,Needles,23066015,4,1,0.0980
OpenMP,Needles,34599022,4,1,0.1450
OpenMP,Needles,51898533,4,1,0.2144
OpenMP,Needles,77847800,4,1,0.3194
OpenMP,Needles,116771700,4,1,0.4765
OpenMP,Needles,175157550,4,1,0.7154
OpenMP,Needles,262736325,4,1,1.0719
OpenMP,Needles,394104487,4,1,1.6156
OpenMP,Needles,591156730,4,1,2.4003
OpenMP,Needles,886735095,4,1,3.6168
OpenMP,Needles,1330102642,4,1,5.3652
OpenMP,Needles,400000,4,2,0.0031
OpenMP,Needles,600000,4,2,0.0040
OpenMP,Needles,900000,4,2,0.0098
OpenMP,Needles,1350000,4,2,0.0086
OpenMP,Needles,2025000,4,2,0.0133
OpenMP,Needles,3037500,4,2,0.0203
OpenMP,Needles,4556250,4,2,0.0233
