modo,algoritmo,tamaño,workers,iteracion,tiempo
OpenMP,Dartboard,4556250,2,6,0.0210
OpenMP,Dartboard,6834375,2,6,0.0359
OpenMP,Dartboard,10251562,2,6,0.0559
OpenMP,Dartboard,15377343,2,6,0.0754
OpenMP,Dartboard,23066015,2,6,0.1003
OpenMP,Dartboard,34599022,2,6,0.1465
OpenMP,Dartboard,51898533,2,6,0.2158
OpenMP,Dartboard,77847800,2,6,0.3217
OpenMP,Dartboard,116771700,2,6,0.4867
OpenMP,Dartboard,175157550,2,6,0.7125
OpenMP,Dartboard,262736325,2,6,1.0947
OpenMP,Dartboard,394104487,2,6,1.6205
OpenMP,Dartboard,591156730,2,6,2.4067
OpenMP,Dartboard,886735095,2,6,3.6033
OpenMP,Dartboard,1330102642,2,6,5.3858
OpenMP,Dartboard,400000,2,7,0.0036
OpenMP,Dartboard,600000,2,7,0.0043
OpenMP,Dartboard,900000,2,7,0.0076
OpenMP,Dartboard,1350000,2,7,0.0075
OpenMP,Dartboard,2025000,2,7,0.0118
OpenMP,Dartboard,3037500,2,7,0.0207
OpenMP,Dartboard,4556250,2,7,0.0277
OpenMP,Dartboard,6834375,2,7,0.0351
OpenMP,Dartboard,10251562,2,7,0.0506
OpenMP,Dartboard,15377343,2,7,0.0696
OpenMP,Dartboard,23066015,2,7,0.1002
OpenMP,Dartboard,34599022,2,7,0.1479
OpenMP,Dartboard,51898533,2,7,0.2186
OpenMP,Dartboard,77847800,2,7,0.3211
OpenMP,Dartboard,116771700,2,7,0.4796
OpenMP,Dartboard,175157550,2,7,0.7164
OpenMP,Dartboard,262736325,2,7,1.0662
OpenMP,Dartboard,394104487,2,7,1.6053
OpenMP,Dartboard,591156730,2,7,2.4012
OpenMP,Dartboard,886735095,2,7,3.6067
OpenMP,Dartboard,1330102642,2,7,5.4194
OpenMP,Dartboard,400000,2,8,0.0035
OpenMP,Dartboard,600000,2,8,0.0043
OpenMP,Dartboard,900000,2,8,0.0098
OpenMP,Dartboard,1350000,2,8,0.0074
OpenMP,Dartboard,2025000,2,8,0.0138
OpenMP,Dartboard,3037500,2,8,0.0172
OpenMP,Dartboard,4556250,2,8,0.0259
OpenMP,Dartboard,6834375,2,8,0.0344
OpenMP,Dartboard,10251562,2,8,0.0515
OpenMP,Dartboard,15377343,2,8,0.0700
OpenMP,Dartboard,23066015,2,8,0.0998
OpenMP,Dartboard,34599022,2,8,0.1468
OpenMP,Dartboard,51898533,2,8,0.2176
OpenMP,Dartboard,77847800,2,8,0.3233
OpenMP,Dartboard,116771700,2,8,0.4789
OpenMP,Dartboard,175157550,2,8,0.7330
OpenMP,Dartboard,262736325,2,8,1.0701
OpenMP,Dartboard,394104487,2,8,1.6063
OpenMP,Dartboard,591156730,2,8,2.4054
OpenMP,Dartboard,886735095,2,8,3.5873
OpenMP,Dartboard,1330102642,2,8,5.3972
OpenMP,Dartboard,400000,2,9,0.0036
OpenMP,Dartboard,600000,2,9,0.0043
OpenMP,Dartboard,900000,2,9,0.0080
OpenMP,Dartboard,1350000,2,9,0.0073
OpenMP,Dartboard,2025000,2,9,0.0107
OpenMP,Dartboard,3037500,2,9,0.0214
OpenMP,Dartboard,4556250,2,9,0.0253
OpenMP,Dartboard,6834375,2,9,0.0338
OpenMP,Dartboard,10251562,2,9,0.0474
OpenMP,Dartboard,15377343,2,9,0.0691
OpenMP,Dartboard,23066015,2,9,0.1002
OpenMP,Dartboard,34599022,2,9,0.1460
OpenMP,Dartboard,51898533,2,9,0.2159
OpenMP,Dartboard,77847800,2,9,0.3230
OpenMP,Dartboard,116771700,2,9,0.4787
OpenMP,Dartboard,175157550,2,9,0.7157
OpenMP,Dartboard,262736325,2,9,1.0666
OpenMP,Dartboard,394104487,2,9,1.6058
OpenMP,Dartboard,591156730,2,9,2.4076
OpenMP,Dartboard,886735095,2,9,3.5956
OpenMP,Dartboard,1330102642,2,9,5.4190
OpenMP,Dartboard,400000,2,10,0.0036
OpenMP,Dartboard,600000,2,10,0.0043
OpenMP,Dartboard,900000,2,10,0.0103
OpenMP,Dartboard,1350000,2,10,0.0074
OpenMP,Dartboard,2025000,2,10,0.0123
OpenMP,Dartboard,3037500,2,10,0.0163
OpenMP,Dartboard,4556250,2,10,0.0252
OpenMP,Dartboard,6834375,2,10,0.0376
OpenMP,Dartboard,10251562,2,10,0.0502
OpenMP,Dartboard,15377343,2,10,0.0709
OpenMP,Dartboard,23066015,2,10,0.1007
OpenMP,Dartboard,34599022,2,10,0.1490
OpenMP,Dartboard,51898533,2,10,0.2178
OpenMP,Dartboard,77847800,2,10,0.3258
OpenMP,Dartboard,116771700,2,10,0.4839
OpenMP,Dartboard,175157550,2,10,0.7158
OpenMP,Dartboard,262736325,2,10,1.0648
OpenMP,Dartboard,394104487,2,10,1.6004
OpenMP,Dartboard,591156730,2,10,2.4371
OpenMP,Dartboard,886735095,2,10,3.5876
OpenMP,Dartboard,1330102642,2,10,5.4020
