N,pi_est,user_time
15377343,3.141534919,0.062666000
23066015,3.141554534,0.087100000
34599022,3.141702445,0.128591000
51898533,3.141660979,0.184918000
77847800,3.141632673,0.278662000
116771700,3.141614621,0.419927000
175157550,3.141609597,0.574963000
262736325,3.141619858,0.858315000
394104487,3.141656624,1.290205000
591156730,3.141523758,1.939445000
886735095,3.141671694,2.896118000
1330102642,3.141597035,4.362019000
175157550,3.141588907,0.574922000
262736325,3.141555580,0.862146000
394104487,3.141685672,1.283923000
591156730,3.141687498,1.933229000
886735095,3.141579220,2.910389000
1330102642,3.141545358,4.365993000
175157550,3.141642481,0.576309000
262736325,3.141723171,0.876631000
394104487,3.141513819,1.309477000
591156730,3.141599285,1.937714000
886735095,3.141671572,2.913857000
1330102642,3.141631047,4.375622000
175157550,3.141825882,0.576468000
262736325,3.141719699,0.861971000
394104487,3.141536077,1.286952000
591156730,3.141560493,1.938346000
886735095,3.141665573,2.909561000
1330102642,3.141567236,4.358484000
175157550,3.141812911,0.577632000
262736325,3.141716624,0.863196000
394104487,3.141508003,1.292393000
591156730,3.141668261,1.933869000
886735095,3.141624040,2.887429000
1330102642,3.141590746,4.327083000
175157550,3.141513843,0.572608000
262736325,3.141605928,0.860555000
394104487,3.141536300,1.283970000
591156730,3.141576367,1.937794000
886735095,3.141631750,2.901279000
1330102642,3.141534625,4.358052000
175157550,3.141686761,0.576466000
262736325,3.141780323,0.864605000
394104487,3.141506471,1.292708000
591156730,3.141561088,1.937937000
886735095,3.141609109,2.900135000
1330102642,3.141624121,4.367594000
175157550,3.141595347,0.577074000
262736325,3.141586821,0.861159000
394104487,3.141546318,1.285603000
591156730,3.141554078,1.938778000
886735095,3.141636197,2.892699000
1330102642,3.141627177,4.331800000
175157550,3.141638462,0.573644000
262736325,3.141500544,0.857417000
394104487,3.141473058,1.285676000
591156730,3.141652286,1.924186000
886735095,3.141570306,2.887605000
1330102642,3.141566210,4.327652000
175157550,3.141462278,0.574808000
262736325,3.141704749,0.862406000
394104487,3.141614077,1.291399000
591156730,3.141540471,1.943204000
886735095,3.141563454,2.891825000
1330102642,3.141540627,4.367952000
