N,num_procesos,pi_est,real_time
100000,12,3.149507102,0.003123980
200000,12,3.149060793,0.006444530
300000,12,3.145148608,0.005877571
100000,12,3.149507102,0.003380732
200000,12,3.149060793,0.004272014
300000,12,3.145148608,0.006894850
100000,12,3.149507102,0.003133562
200000,12,3.149060793,0.003959180
300000,12,3.155304066,0.006231837
