matrix_size,num_threads,real_time
500,2,0.226422071
675,2,0.452528000
911,2,1.242680073
1229,2,2.625507116
1658,2,8.936890125
2239,2,28.329351902
3023,2,55.409367085
4081,2,125.923642874
5510,2,296.572101116
500,2,0.146775007
675,2,0.368937016
911,2,0.916314125
1229,2,2.190907955
1658,2,5.874379873
2239,2,19.081315041
3023,2,50.009969950
4081,2,125.458512068
5510,2,296.434741020
500,2,0.149005890
675,2,0.366620064
911,2,0.914721966
1229,2,2.193932056
1658,2,5.953550100
2239,2,19.063882113
3023,2,49.674510002
4081,2,124.238137007
5510,2,297.382020950
500,2,0.151333094
675,2,0.364658833
911,2,0.925752878
1229,2,2.193892956
1658,2,5.974704981
2239,2,18.963984966
3023,2,49.637314081
4081,2,125.084085941
5510,2,294.665915012
500,2,0.148645878
675,2,0.369786024
911,2,0.934849977
1229,2,2.183927059
1658,2,5.932253838
2239,2,18.901530027
3023,2,49.747303963
4081,2,125.131872177
5510,2,299.353979111
500,2,0.146459103
675,2,0.369151115
911,2,0.928931952
1229,2,2.232650995
1658,2,5.849933147
2239,2,19.054574013
3023,2,49.624779940
4081,2,125.489610910
5510,2,300.978518963
500,2,0.146090031
675,2,0.369632959
911,2,0.932697058
1229,2,2.190228939
1658,2,6.129124880
2239,2,19.048389912
3023,2,50.144695044
4081,2,124.837408066
5510,2,296.249485970
500,2,0.148576021
675,2,0.371945858
911,2,0.933272123
1229,2,2.178874969
1658,2,5.933218002
2239,2,18.961819887
3023,2,49.653709888
4081,2,125.523765087
5510,2,296.095927954
500,2,0.146846056
675,2,0.370150089
911,2,0.927922964
1229,2,2.189667940
1658,2,6.003503084
2239,2,19.010931015
3023,2,49.721511841
4081,2,124.621155024
5510,2,298.800903082
500,2,0.147717953
675,2,0.365205050
911,2,0.933233023
1229,2,2.200004816
1658,2,5.882198095
2239,2,18.995021105
3023,2,50.149399996
4081,2,124.923865080
5510,2,293.211247206
