matrix_size,num_threads,real_time
500,16,0.060558081
675,16,0.155144215
911,16,0.376213074
1229,16,0.995970011
1658,16,2.522238016
2239,16,6.484683990
3023,16,17.000401020
4081,16,45.533735037
5510,16,122.612530947
500,16,0.060144186
675,16,0.157731771
911,16,0.373216152
1229,16,0.978987217
1658,16,2.539177895
2239,16,6.574309826
3023,16,17.063419104
4081,16,45.902437925
5510,16,120.457878113
500,16,0.062854052
675,16,0.159729958
911,16,0.384335041
1229,16,1.010989904
1658,16,2.533039093
2239,16,6.595897198
3023,16,17.317155838
4081,16,46.463617086
5510,16,121.789880991
500,16,0.065757990
675,16,0.157302141
911,16,0.388072014
1229,16,1.004894018
1658,16,2.612753868
2239,16,6.674182892
3023,16,17.097250938
4081,16,46.358223915
5510,16,120.091560841
500,16,0.065747976
675,16,0.158607960
911,16,0.381077051
1229,16,0.998440981
1658,16,2.559751034
2239,16,6.604878902
3023,16,17.418951035
4081,16,45.619426012
5510,16,120.722342014
500,16,0.061322927
675,16,0.154633999
911,16,0.390935898
1229,16,1.003028154
1658,16,2.584578037
2239,16,6.629175901
3023,16,17.173905134
4081,16,46.022330999
5510,16,121.632876158
500,16,0.063795805
675,16,0.157193184
911,16,0.378292084
1229,16,0.995837927
1658,16,2.532186031
2239,16,6.675932884
3023,16,17.277891159
4081,16,49.098968029
5510,16,120.911366940
500,16,0.062118053
675,16,0.153120995
911,16,0.385152102
1229,16,1.008102894
1658,16,2.579478979
2239,16,6.715536118
3023,16,17.190930843
4081,16,46.197185040
5510,16,120.244775057
500,16,0.065901995
675,16,0.164124966
911,16,0.381361008
1229,16,1.003277063
1658,16,2.569164038
2239,16,6.786550999
3023,16,17.295737982
4081,16,45.728562832
5510,16,120.274398088
500,16,0.067709923
675,16,0.158977985
911,16,0.385221004
1229,16,1.001708031
1658,16,2.567958117
2239,16,6.827028036
3023,16,17.282843828
4081,16,45.713157177
5510,16,120.375324965
