matrix_size,num_threads,real_time
500,4,0.078023911
675,4,0.206966877
911,4,0.529806137
1229,4,1.249148846
1658,4,3.301764965
2239,4,10.341307163
3023,4,27.125747919
4081,4,67.682321787
5510,4,165.600462914
500,4,0.084317923
675,4,0.214953184
911,4,0.536113024
1229,4,1.273999929
1658,4,3.300189972
2239,4,10.382619858
3023,4,27.111695051
4081,4,68.389278173
5510,4,163.715499878
500,4,0.082302809
675,4,0.209494114
911,4,0.532934904
1229,4,1.254862070
1658,4,3.314922094
2239,4,10.395649195
3023,4,26.936736107
4081,4,67.763095856
5510,4,163.976546049
500,4,0.081811905
675,4,0.209555864
911,4,0.529305935
1229,4,1.263746023
1658,4,3.281554937
2239,4,10.374089003
3023,4,27.070971966
4081,4,68.323868036
5510,4,166.669013977
500,4,0.079936028
675,4,0.210207939
911,4,0.532623053
1229,4,1.260248184
1658,4,3.305612087
2239,4,10.417666197
3023,4,27.210903883
4081,4,69.566049099
5510,4,164.041399956
500,4,0.084949970
675,4,0.209819078
911,4,0.532160044
1229,4,1.261558056
1658,4,3.310480833
2239,4,10.348402023
3023,4,27.303925037
4081,4,68.188153982
5510,4,166.497985840
500,4,0.079069138
675,4,0.211206913
911,4,0.533641100
1229,4,1.251127958
1658,4,3.337370872
2239,4,10.340466976
3023,4,27.191273928
4081,4,67.903972864
5510,4,163.563938856
500,4,0.084033966
675,4,0.212148905
911,4,0.533852100
1229,4,1.258643866
1658,4,3.298547983
2239,4,10.352517843
3023,4,27.102895021
4081,4,68.041999102
5510,4,165.631510973
500,4,0.086134195
675,4,0.210112095
911,4,0.530894995
1229,4,1.260118961
1658,4,3.294538975
2239,4,10.356528997
3023,4,27.052309990
4081,4,68.614997149
5510,4,169.333858013
500,4,0.088612080
675,4,0.220299006
911,4,0.538621902
1229,4,1.303013086
1658,4,3.567032099
2239,4,10.640985966
3023,4,27.433056116
4081,4,68.842241049
5510,4,163.229629993
