N,num_procesos,pi_est,real_time
100000,2,3.138800000,0.001291809
200000,2,3.137420000,0.001421204
300000,2,3.139346667,0.001884287
100000,2,3.138800000,0.000773601
200000,2,3.137420000,0.001323458
300000,2,3.139346667,0.001912190
100000,2,3.138800000,0.000834896
200000,2,3.137420000,0.001384003
300000,2,3.139346667,0.002504419
100000,2,3.142640000,0.001074275
200000,2,3.145940000,0.001823318
300000,2,3.143680000,0.002739836
100000,2,3.142560000,0.001367219
200000,2,3.130680000,0.002042802
300000,2,3.142106667,0.002636622
100000,2,3.143720000,0.001130421
200000,2,3.137700000,0.001784445
300000,2,3.140293333,0.002857157
