,400000,600000,900000,1350000,2025000,3037500,4556250,6834375,10251562,15377343,23066015,34599022,51898533,77847800,116771700,175157550,262736325,394104487,591156730,886735095,1330102642
iter1,0.00164273,0.003167009,0.009367495,0.013111895,0.010251602,0.016032081,0.024550333,0.032672332,0.045506417,0.066264469,0.096153572,0.143027974,0.212561242,0.31742251,0.47473581,0.713498266,1.069963449,1.613477546,2.39834847,3.614671379,5.363003933
iter2,0.001632371,0.002712005,0.008006392,0.006833433,0.011196263,0.017415704,0.020844463,0.03949399,0.047879343,0.068088945,0.100099874,0.144927655,0.217688109,0.338798427,0.483282959,0.724643712,1.085919336,1.616565216,2.414850142,3.617621975,5.37821396
iter3,0.001707962,0.002875842,0.007325535,0.005251325,0.012946504,0.016581929,0.027256954,0.031880833,0.052452233,0.068320795,0.098948348,0.143891893,0.215023918,0.320912157,0.484930744,0.778436885,1.076024516,1.615275111,2.411268373,3.608446915,5.369414542
iter4,0.001735674,0.002536596,0.006248395,0.007105171,0.011166926,0.016475569,0.020329885,0.03321374,0.050054033,0.065870596,0.097140301,0.147387286,0.216895041,0.32168304,0.479924846,0.715922106,1.082305337,1.632551499,2.414067505,3.596947508,5.377104754
iter5,0.001764278,0.00260816,0.010050653,0.005336835,0.009788561,0.01638075,0.026667245,0.035515553,0.04798517,0.065478726,0.101151274,0.148559533,0.216751476,0.32304435,0.4858285,0.72113461,1.076983115,1.729147,2.39322115,3.583844133,5.351963995
iter6,0.001544866,0.002482774,0.008581648,0.005122063,0.014479063,0.015698169,0.024963419,0.034321963,0.053222236,0.067599067,0.097084885,0.149528992,0.218228993,0.322845616,0.482272532,0.720538225,1.076722827,1.609777828,2.405546892,3.608322641,5.388452737
iter7,0.001730654,0.003286621,0.006329366,0.006543667,0.015385492,0.021953054,0.019985025,0.038036635,0.051380479,0.069783839,0.102163368,0.151240129,0.220551332,0.326790621,0.488711041,0.728468496,1.096536341,1.642027692,2.442840721,3.65682242,5.47930065
iter8,0.001741274,0.002484167,0.006234126,0.007837853,0.011760436,0.017445383,0.02698781,0.033709291,0.04717898,0.069101365,0.101325622,0.152368385,0.223696525,0.337232835,0.49955622,0.757157509,1.107061723,1.633035394,2.440622723,3.72467715,5.598736316
iter9,0.001741625,0.002815047,0.007930275,0.005303391,0.01372623,0.021832104,0.026406119,0.034123495,0.048730466,0.069210386,0.102791864,0.150736797,0.222208962,0.341530541,0.513007865,0.737354022,1.126497517,1.640097492,2.513442843,3.751826104,5.625708778
iter10,0.001714894,0.002401021,0.008417989,0.006047666,0.013238325,0.019350261,0.02599136,0.03284196,0.047851866,0.067306523,0.097955944,0.150733262,0.222340686,0.33348547,0.507608824,0.779335198,1.127328649,1.702455981,2.510118423,3.75592219,5.615984441
