matrix_size,real_time_sec,user_time_sec,system_time_sec,total_cpu_time_sec,total_operations,performance_gops,elements_per_second_million,memory_used_mb,algorithm
3023,4.040777958,4.039367000,0.001010000,4.040377000,55242407805,13.671231,2.261577,106,Secuencial
3023,4.031252455,4.030746000,0.000000000,4.030746000,55242407805,13.703535,2.266921,106,Secuencial
3023,4.042776279,4.040397000,0.002056000,4.042453000,55242407805,13.664473,2.260459,106,Secuencial
3023,4.055592273,4.054396000,0.001041000,4.055437000,55242407805,13.621292,2.253316,106,Secuencial
3023,4.023269172,4.019814000,0.003101000,4.022915000,55242407805,13.730726,2.271419,106,Secuencial
4081,10.936692814,10.926619000,0.009068000,10.935687000,135917872321,12.427694,1.522815,192,Secuencial
4081,10.840148268,10.827682000,0.011215000,10.838897000,135917872321,12.538378,1.536378,192,Secuencial
4081,10.815158266,10.807488000,0.007019000,10.814507000,135917872321,12.567349,1.539928,192,Secuencial
4081,10.805363970,10.798426000,0.006121000,10.804547000,135917872321,12.578741,1.541323,192,Secuencial
4081,10.809464686,10.796015000,0.012643000,10.808658000,135917872321,12.573969,1.540739,192,Secuencial
4081,10.866440834,10.863519000,0.001941000,10.865460000,135917872321,12.508040,1.532660,192,Secuencial
4081,10.758393123,10.751445000,0.005867000,10.757312000,135917872321,12.633659,1.548053,192,Secuencial
4081,10.878468154,10.871834000,0.005932000,10.877766000,135917872321,12.494211,1.530966,192,Secuencial
4081,10.779292668,10.773460000,0.005039000,10.778499000,135917872321,12.609164,1.545051,192,Secuencial
4081,10.775332490,10.767320000,0.007107000,10.774427000,135917872321,12.613798,1.545619,192,Secuencial
