size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm
911,4,0.032104735,0.123052000,0.000092000,0.123144000,1511286141,47.073621,25.850424,13,openmp
911,4,0.031627695,0.121043000,0.000000000,0.121043000,1511286141,47.783632,26.240325,13,openmp
911,4,0.030426285,0.115777000,0.000137000,0.115914000,1511286141,49.670413,27.276449,13,openmp
911,4,0.033795870,0.130076000,0.000000000,0.130076000,1511286141,44.718072,24.556876,13,openmp
911,8,0.020219945,0.150867000,0.000766000,0.151633000,1511286141,74.742347,41.044671,13,openmp
911,8,0.021389845,0.159564000,0.000979000,0.160543000,1511286141,70.654376,38.799767,13,openmp
911,8,0.025715567,0.194117000,0.000844000,0.194961000,1511286141,58.769310,32.273097,13,openmp
911,8,0.021184957,0.160029000,0.000000000,0.160029000,1511286141,71.337702,39.175015,13,openmp
911,8,0.020155524,0.151492000,0.000000000,0.151492000,1511286141,74.981238,41.175858,13,openmp
911,8,0.020147077,0.152990000,0.000000000,0.152990000,1511286141,75.012675,41.193122,13,openmp
911,8,0.025745853,0.189810000,0.000957000,0.190767000,1511286141,58.700178,32.235133,13,openmp
911,8,0.022639556,0.170757000,0.000275000,0.171032000,1511286141,66.754231,36.658007,13,openmp
911,8,0.020665417,0.153026000,0.001720000,0.154746000,1511286141,73.131171,40.159896,13,openmp
911,8,0.023164628,0.176942000,0.002767000,0.179709000,1511286141,65.241114,35.827081,13,openmp
911,12,0.025353813,0.233579000,0.001298000,0.234877000,1511286141,59.607844,32.733577,13,openmp
911,12,0.027187155,0.240652000,0.000917000,0.241569000,1511286141,55.588242,30.526217,13,openmp
911,12,0.017115340,0.176453000,0.001786000,0.178239000,1511286141,88.300095,48.489893,13,openmp
911,12,0.027598083,0.239340000,0.002776000,0.242116000,1511286141,54.760548,30.071690,13,openmp
911,12,0.021998385,0.219575000,0.001836000,0.221411000,1511286141,68.699868,37.726451,13,openmp
911,12,0.028757161,0.252013000,0.001934000,0.253947000,1511286141,52.553385,28.859629,13,openmp
911,12,0.018410296,0.182132000,0.000009000,0.182141000,1511286141,82.089182,45.079177,13,openmp
911,12,0.025160698,0.239602000,0.001892000,0.241494000,1511286141,60.065350,32.984816,13,openmp
911,12,0.016059576,0.164529000,0.000879000,0.165408000,1511286141,94.104984,51.677641,13,openmp
911,12,0.023912580,0.234489000,0.001899000,0.236388000,1511286141,63.200464,34.706460,13,openmp
