N,num_threads,pi_est,real_time
100000,2,3.145643284,0.002647877
200000,2,3.146657856,0.004823923
300000,2,3.144769462,0.006716013
100000,2,3.145643284,0.002597094
200000,2,3.146657856,0.004311085
300000,2,3.144769462,0.006614923
100000,2,3.145643284,0.002321959
200000,2,3.146657856,0.004067898
300000,2,3.144769462,0.006911993
100000,2,3.133715647,0.001678944
200000,2,3.139544923,0.003319025
300000,2,3.136730063,0.005292892
100000,2,3.133715647,0.001595020
200000,2,3.139544923,0.003121138
300000,2,3.136730063,0.004961014
100000,2,3.133715647,0.002604008
200000,2,3.139544923,0.003308058
300000,2,3.136730063,0.007876873
100000,2,3.144851877,0.004134893
200000,2,3.146484590,0.007074118
300000,2,3.143632572,0.010401011
100000,2,3.144851877,0.003196001
200000,2,3.146484590,0.006974936
300000,2,3.143632572,0.009676933
100000,2,3.144851877,0.002791166
200000,2,3.146484590,0.006193876
300000,2,3.143632572,0.009909868
