N,num_threads,pi_est,real_time
100000,2,3.138800000,0.000658035
200000,2,3.137420000,0.001222849
300000,2,3.139346667,0.002206087
100000,2,3.138800000,0.000699997
200000,2,3.137420000,0.001123905
300000,2,3.139346667,0.001674891
100000,2,3.138800000,0.000844955
200000,2,3.137420000,0.001060009
300000,2,3.139346667,0.001842022
100000,2,3.140920000,0.000757933
200000,2,3.137620000,0.003767967
300000,2,3.142040000,0.002279043
100000,2,3.140920000,0.000877142
200000,2,3.137620000,0.001465082
300000,2,3.142040000,0.002317190
100000,2,3.140920000,0.000753880
200000,2,3.137620000,0.001547813
300000,2,3.142040000,0.003377914
