N,num_threads,pi_est,real_time
100000,4,3.139680000,0.000446081
200000,4,3.138520000,0.001705885
300000,4,3.136760000,0.000977039
100000,4,3.139680000,0.000432968
200000,4,3.138520000,0.000622988
300000,4,3.136760000,0.000951052
100000,4,3.139680000,0.000454903
200000,4,3.138520000,0.000641108
300000,4,3.136760000,0.001099110
10000,4,3.141600000,0.000216961
10000,4,3.152800000,0.000268221
100000,4,3.148680000,0.000952005
100000,4,3.140160000,0.000753880
100000,4,3.137360000,0.000735044
100000,4,3.149480000,0.000706911
100000,4,3.139920000,0.000512838
1000000,4,3.138944000,0.003575087
1000000,4,3.143608000,0.004189014
1000000,4,3.140468000,0.003638029
1000000,4,3.142088000,0.003808975
1000000,4,3.140332000,0.006123066
1000000,4,3.139144000,0.003699064
100000,4,3.137360000,0.000510931
1000000,4,3.138928000,0.003360033
1000000,4,3.142476000,0.004015923
1000000,4,3.138360000,0.010220051
1000000,4,3.141956000,0.003311157
100000,4,3.146320000,0.000511169
100000,4,3.143720000,0.000587940
100000,4,3.142520000,0.000485897
100000,4,3.139840000,0.000492096
100000,4,3.147240000,0.000653028
200000,4,3.142500000,0.000967026
300000,4,3.142520000,0.001739025
100000,4,3.147240000,0.000479937
200000,4,3.142500000,0.000819921
300000,4,3.142520000,0.001634836
100000,4,3.147240000,0.000717163
200000,4,3.142500000,0.000878096
300000,4,3.142520000,0.001538992
100000,4,3.147280000,0.000978947
200000,4,3.142000000,0.002332926
300000,4,3.144586667,0.001408100
100000,4,3.147280000,0.001233101
200000,4,3.142000000,0.002184153
300000,4,3.144586667,0.003278971
100000,4,3.147280000,0.001349926
200000,4,3.142000000,0.002235889
300000,4,3.144586667,0.003303051
