,400000,600000,900000,1350000,2025000,3037500,4556250,6834375,10251562,15377343,23066015,34599022,51898533,77847800,116771700
iter1,0.000962,0.002229,0.002783,0.004531,0.00652,0.01132,0.017468,0.027164,0.04058,0.059037,0.082361,0.125282,0.195935,0.28461,0.411
iter2,0.001583,0.001947,0.003086,0.004864,0.00872,0.011075,0.015934,0.028641,0.041136,0.062776,0.087369,0.134065,0.205046,0.287956,0.408077
iter3,0.001512,0.002069,0.00257,0.005952,0.007706,0.011911,0.018054,0.027711,0.041732,0.059878,0.092263,0.127341,0.194473,0.276548,0.410914
iter4,0.000972,0.001997,0.002993,0.004922,0.007581,0.011309,0.017515,0.028226,0.042791,0.063819,0.084829,0.13256,0.19238,0.288939,0.418936
iter5,0.001068,0.001759,0.003807,0.004938,0.007818,0.012131,0.018353,0.027401,0.042199,0.062978,0.093444,0.139357,0.193983,0.295236,0.439524
iter6,0.001052,0.00218,0.003515,0.005458,0.007809,0.011091,0.020405,0.027646,0.04302,0.061373,0.095633,0.131445,0.19672,0.296456,0.443592
iter7,0.001545,0.002239,0.003163,0.00444,0.007579,0.012043,0.018306,0.029518,0.042756,0.062809,0.089574,0.136985,0.197486,0.289766,0.433805
iter8,0.001046,0.002166,0.003875,0.005564,0.007403,0.01158,0.018658,0.027555,0.041189,0.063542,0.093011,0.131741,0.20234,0.303431,0.427688
iter9,0.001337,0.002,0.002647,0.004767,0.006813,0.010851,0.019543,0.028369,0.043373,0.062701,0.090022,0.127759,0.193366,0.275029,0.410181
iter10,0.001327,0.001894,0.003075,0.004726,0.00735,0.011073,0.017849,0.02583,0.041723,0.062666,0.0871,0.128591,0.184918,0.278662,0.419927
