,400000,600000,900000,1350000,2025000,3037500,4556250,6834375,10251562,15377343,23066015,34599022,51898533,77847800,116771700
iter1,0.001152039,0.003491163,0.004587173,0.002694845,0.004129887,0.005794048,0.01463294,0.013289213,0.031380892,0.041866779,0.061089039,0.082714081,0.106603146,0.168321133,0.234204054
iter2,0.000972033,0.001177073,0.001538038,0.004456997,0.003948927,0.007390976,0.014496088,0.014260054,0.03195405,0.037630796,0.05712986,0.08471489,0.116456985,0.169026136,0.224549055
iter3,0.001040936,0.001418829,0.00465703,0.004912853,0.003859997,0.013371944,0.017198086,0.022168875,0.026845932,0.040467024,0.051087141,0.076512098,0.121891022,0.153453827,0.235197067
iter4,0.001183987,0.001456976,0.003257036,0.004605055,0.004613876,0.010544062,0.010093927,0.022017956,0.023784876,0.038181067,0.055155993,0.081449986,0.115486145,0.16901803,0.236489058
iter5,0.001055002,0.001431942,0.00334692,0.004940987,0.00405407,0.007534027,0.015511036,0.013256073,0.030684948,0.031883955,0.055801868,0.070991039,0.106014967,0.162746906,0.242050886
iter6,0.001070976,0.001332045,0.00415206,0.003684998,0.004249096,0.006768942,0.015004873,0.013098001,0.033311129,0.039834976,0.059557915,0.077569962,0.118823051,0.19333005,0.230061054
iter7,0.001019001,0.001281977,0.00258708,0.004377127,0.003908873,0.006770849,0.015063047,0.014241934,0.030591011,0.042623043,0.059686184,0.081751108,0.113848925,0.166446924,0.227653027
iter8,0.001145124,0.001401901,0.003206968,0.004788876,0.004034996,0.009644032,0.010641098,0.015837908,0.024682045,0.042335987,0.058056831,0.081212997,0.110705137,0.167718887,0.248764992
iter9,0.001013041,0.001292944,0.002820969,0.004734993,0.004303932,0.014672041,0.013530016,0.022397041,0.02600503,0.037148952,0.061783075,0.070167065,0.120150089,0.16090703,0.231589079
iter10,0.001028061,0.001134157,0.001733065,0.004027843,0.004464865,0.006176949,0.01228404,0.017689943,0.032525063,0.041160107,0.061475992,0.083077908,0.117292881,0.165838003,0.232872963
