N,num_procesos,pi_est,real_time
100000,12,3.146845874,0.001826640
200000,12,3.147365895,0.006209030
300000,12,3.146906667,0.015753157
100000,12,3.146845874,0.005182522
200000,12,3.147365895,0.004447236
300000,12,3.146906667,0.007969088
100000,12,3.146845874,0.004143904
200000,12,3.147365895,0.004536814
300000,12,3.146906667,0.005201475
